pair,pairs_removed,total,proportion,n removed,worker_ids
red-cat,0,10,0.0,0,
red-aubergine,1,10,0.1,1,5e0d4056dcd3e34d031771cf
round-salad,3,10,0.3,3,5d1c06cb799c310017c90868 5e0d4056dcd3e34d031771cf 5c729af09048710001bcdeac
red-rhubarb,1,10,0.1,1,5e73c7dbc26506000b938b4e
round-plunger,2,10,0.2,2,5df0c7b60a30c6102c0772ba 5c729af09048710001bcdeac
red-gorilla,0,9,0.0,0,
round-pumpkin,0,9,0.0,0,
roll-crankshaft,0,9,0.0,0,
round-ashtray,0,9,0.0,0,
roll-noseband,0,9,0.0,0,
_check1-_check1,0,9,0.0,0,
_test4-_test4,0,9,0.0,0,
