pair,pairs_removed,total,proportion
"('roll', 'rope')",3,5,0.6
"('red', 'clothing')",3,5,0.6
"('round', 'popsicle')",0,5,0.0
"('red', 'bulgur')",2,5,0.4
"('red', 'cowpeas')",1,5,0.2
"('red', 'marinade')",1,5,0.2
"('round', 'marble')",3,5,0.6
"('_check3', '_check3')",0,73,0.0
"('round', 'pizza')",1,5,0.2
"('roll', 'wheel')",1,5,0.2
"('roll', 'lever')",2,5,0.4
"('roll', 'chimney')",1,5,0.2
"('roll', 'polyurethane')",0,5,0.0
"('roll', 'calliper')",1,5,0.2
"('red', 'jam')",1,5,0.2
"('_check2', '_check2')",0,67,0.0
"('round', 'donut')",3,5,0.6
"('red', 'bloodstone')",2,5,0.4
"('red', 'lewisia')",3,5,0.6
"('red', 'carnation')",4,5,0.8
"('roll', 'eyelet')",3,5,0.6
"('red', 'syrup')",3,5,0.6
"('red', 'geranium')",2,5,0.4
"('roll', 'bead')",3,5,0.6
"('red', 'beetroot')",3,5,0.6
"('round', 'dresser')",2,5,0.4
"('red', 'lentil')",3,5,0.6
"('round', 'bedroom')",0,5,0.0
"('red', 'crypt')",1,5,0.2
"('round', 'pancake')",1,5,0.2
"('roll', 'mandrel')",5,5,1.0
"('roll', 'ferrule')",3,5,0.6
"('roll', 'pipe')",4,5,0.8
"('roll', 'spindle')",4,5,0.8
"('roll', 'noseband')",2,5,0.4
"('red', 'flower')",3,5,0.6
"('red', 'radish')",3,5,0.6
"('_check1', '_check1')",0,55,0.0
"('round', 'world')",3,5,0.6
"('round', 'watermelon')",3,5,0.6
"('round', 'nut')",1,5,0.2
"('roll', 'pavement')",2,5,0.4
"('round', 'dough')",4,5,0.8
"('red', 'cockroach')",4,5,0.8
"('round', 'patty')",0,5,0.0
"('red', 'cheetah')",0,5,0.0
"('roll', 'nut')",5,5,1.0
"('round', 'mayonnaise')",0,5,0.0
"('red', 'peanut')",2,5,0.4
"('red', 'truffle')",0,5,0.0
"('red', 'lobster')",2,5,0.4
"('red', 'vegetable')",2,5,0.4
"('round', 'pepperoni')",3,5,0.6
"('red', 'pigweed')",2,5,0.4
"('round', 'banjo')",0,5,0.0
"('roll', 'radiator')",3,5,0.6
"('roll', 'propeller')",2,5,0.4
"('round', 'peanut')",3,5,0.6
"('roll', 'brick')",3,5,0.6
"('roll', 'driveshaft')",2,5,0.4
"('_check4', '_check4')",0,91,0.0
"('round', 'omelette')",2,5,0.4
"('red', 'ketchup')",2,5,0.4
"('round', 'coleslaw')",0,5,0.0
"('roll', 'rail')",3,5,0.6
"('red', 'mamey')",1,5,0.2
"('red', 'fenugreek')",0,5,0.0
"('red', 'chocolate')",0,5,0.0
"('roll', 'pulley')",4,5,0.8
"('red', 'crow')",1,5,0.2
"('round', 'doughnut')",3,5,0.6
"('red', 'water')",1,5,0.2
"('round', 'syrup')",0,5,0.0
"('round', 'baton')",0,5,0.0
"('round', 'curd')",4,5,0.8
"('round', 'disk')",4,5,0.8
"('round', 'apple')",0,5,0.0
"('red', 'fir')",1,5,0.2
"('roll', 'chock')",3,5,0.6
"('round', 'cantaloupe')",0,5,0.0
"('roll', 'kickstand')",3,5,0.6
"('red', 'brick')",0,5,0.0
"('red', 'ageratina')",1,5,0.2
"('round', 'cucurbit')",2,5,0.4
"('roll', 'fireplace')",1,5,0.2
"('roll', 'wiffle')",2,5,0.4
"('red', 'tongue')",1,5,0.2
"('red', 'wheat')",1,5,0.2
"('round', 'room')",3,5,0.6
"('roll', 'tub')",3,5,0.6
"('round', 'ketchup')",0,5,0.0
"('red', 'wand')",1,5,0.2
"('round', 'frisbee')",1,5,0.2
"('red', 'night')",0,5,0.0
"('red', 'paint')",0,5,0.0
"('red', 'pistachio')",0,5,0.0
"('red', 'oven')",0,5,0.0
"('roll', 'millstone')",1,5,0.2
"('round', 'cake')",1,5,0.2
"('red', 'watermelon')",0,5,0.0
"('round', 'marshmallow')",3,5,0.6
"('red', 'galangal')",2,5,0.4
"('red', 'fox')",1,5,0.2
"('round', 'beet')",0,5,0.0
"('roll', 'wagon')",0,5,0.0
"('round', 'chicken')",0,5,0.0
"('red', 'garlic')",1,5,0.2
"('round', 'ashtray')",0,5,0.0
"('red', 'recorder')",0,5,0.0
"('red', 'wine')",1,5,0.2
"('roll', 'dowel')",2,5,0.4
"('roll', 'paddle')",2,5,0.4
"('red', 'glass')",2,5,0.4
"('round', 'pudding')",0,5,0.0
"('red', 'pot')",3,5,0.6
"('round', 'soup')",4,5,0.8
"('red', 'eye')",2,5,0.4
"('red', 'bus')",0,5,0.0
"('roll', 'horseshoe')",3,5,0.6
"('red', 'mentzelia')",4,5,0.8
"('round', 'fritter')",2,5,0.4
"('round', 'pie')",3,5,0.6
"('round', 'creamer')",2,5,0.4
"('round', 'cornmeal')",2,5,0.4
"('roll', 'surfboard')",2,5,0.4
"('roll', 'cart')",1,5,0.2
"('round', 'juice')",1,5,0.2
"('red', 'couch')",2,5,0.4
"('red', 'juice')",1,5,0.2
"('round', 'condiment')",1,5,0.2
"('round', 'candle')",0,5,0.0
"('red', 'daisy')",1,5,0.2
"('round', 'puree')",2,5,0.4
"('red', 'clarinet')",1,5,0.2
"('round', 'mentzelia')",1,5,0.2
"('round', 'chive')",3,5,0.6
"('round', 'hubcap')",1,5,0.2
"('red', 'lime')",1,5,0.2
"('round', 'bean')",2,5,0.4
"('red', 'nectarine')",3,5,0.6
"('round', 'enchiladas')",2,5,0.4
"('round', 'cds')",1,5,0.2
"('round', 'plunger')",2,5,0.4
