unit,duration,input.concept,input.description,input.property,input.relation,job,output.answer,output.answer.annotations,output.answer.unique_annotations,worker,uqs,unit_annotation_score,uqs_initial,unit_annotation_score_initial,unit_annotation_score_true,unit_annotation_score_false
check1,37514.454545454544,_check1,I am still paying attention to this task.,_check1,_check,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'true': 55, 'false': 0})",55,1,55,1.0,"Counter({'true': 1.0, 'false': 0.0})",1.0,"Counter({'true': 1.0, 'false': 0.0})",1.0,0.0
check2,35716.746268656716,_check2,I am working on a task in which I judge statements as true or false.,_check2,_check,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'true': 66, 'false': 1})",67,2,67,0.9875357439514507,"Counter({'true': 0.9938257876646965, 'false': 0.0061742123353032904})",0.9701492537313433,"Counter({'true': 0.9850746268656716, 'false': 0.014925373134328358})",0.9938257876646965,0.0061742123353032904
check3,48397.49315068493,_check3,I am still focused on this task.,_check3,_check,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'true': 72, 'false': 1})",73,2,73,0.9886195507910662,"Counter({'true': 0.9943575883022746, 'false': 0.00564241169772533})",0.9726027397260274,"Counter({'true': 0.9863013698630136, 'false': 0.0136986301369863})",0.9943575883022746,0.00564241169772533
check4,53031.83516483517,_check4,I am answering questions at random. ,_check4,_check,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 87, 'true': 4})",91,2,91,0.9493052169938384,"Counter({'false': 0.9742781210584989, 'true': 0.02572187894150113})",0.915018315018315,"Counter({'false': 0.9560439560439561, 'true': 0.04395604395604396})",0.02572187894150113,0.9742781210584989
d4d76040-12a0-11ea-b098-acde48001122,69809.6,carrot,"In an unusual situation, (a/an) carrot could be red. ",red,unusual,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'true': 3, 'false': 2})",5,2,5,0.3999960294198809,"Counter({'true': 0.601441578331287, 'false': 0.3985584216687129})",0.4,"Counter({'true': 0.6, 'false': 0.4})",0.601441578331287,0.3985584216687129
d4d7618a-12a0-11ea-b098-acde48001122,69850.0,carrot,"""(A/An) carrot is red” could be said figuratively or creatively. ",red,creative,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 3, 'true': 2})",5,2,5,0.399151251796633,"Counter({'false': 0.5997666657981416, 'true': 0.4002333342018583})",0.4,"Counter({'false': 0.6, 'true': 0.4})",0.4002333342018583,0.5997666657981416
d4d7632e-12a0-11ea-b098-acde48001122,67920.6,carrot,(A/An) carrot cannot be red.,red,impossible,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'true': 3, 'false': 2})",5,2,5,0.416955680141489,"Counter({'true': 0.6306362266092838, 'false': 0.36936377339071624})",0.4,"Counter({'true': 0.6, 'false': 0.4})",0.6306362266092838,0.36936377339071624
d4d77ba2-12a0-11ea-b098-acde48001122,63081.8,fear,"In an unusual situation, (a/an) fear could be red. ",red,unusual,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 3, 'true': 2})",5,2,5,0.409796286248674,"Counter({'false': 0.6186154266925435, 'true': 0.38138457330745645})",0.4,"Counter({'false': 0.6, 'true': 0.4})",0.38138457330745645,0.6186154266925435
d4d77cd8-12a0-11ea-b098-acde48001122,67325.8,fear,"""(A/An) fear is red” could be said figuratively or creatively. ",red,creative,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'true': 4, 'false': 1})",5,2,5,0.6214780331995144,"Counter({'true': 0.814146688298245, 'false': 0.185853311701755})",0.6,"Counter({'true': 0.8, 'false': 0.2})",0.814146688298245,0.185853311701755
d4d77e68-12a0-11ea-b098-acde48001122,66375.0,fear,(A/An) fear cannot be red.,red,impossible,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'true': 5, 'false': 0})",5,1,5,1.0,"Counter({'true': 1.0, 'false': 0.0})",1.0,"Counter({'true': 1.0, 'false': 0.0})",1.0,0.0
d4d7a44c-12a0-11ea-b098-acde48001122,26016.2,blueberry,"In an unusual situation, (a/an) blueberry could be red. ",red,unusual,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'true': 4, 'false': 1})",5,2,5,0.6533733443030126,"Counter({'true': 0.8342945664253016, 'false': 0.1657054335746983})",0.6,"Counter({'true': 0.8, 'false': 0.2})",0.8342945664253016,0.1657054335746983
d4d7a686-12a0-11ea-b098-acde48001122,28979.2,blueberry,"""(A/An) blueberry is red” could be said figuratively or creatively. ",red,creative,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 3, 'true': 2})",5,2,5,0.3961966693666076,"Counter({'false': 0.5958401317500678, 'true': 0.40415986824993216})",0.4,"Counter({'false': 0.6, 'true': 0.4})",0.40415986824993216,0.5958401317500678
d4d7a92e-12a0-11ea-b098-acde48001122,13805.6,blueberry,(A/An) blueberry cannot be red.,red,impossible,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'true': 4, 'false': 1})",5,2,5,0.6236521787892504,"Counter({'true': 0.8160742428053087, 'false': 0.1839257571946914})",0.6,"Counter({'true': 0.8, 'false': 0.2})",0.8160742428053087,0.1839257571946914
d4d824f8-12a0-11ea-b098-acde48001122,40370.4,pit,(A/An) pit is a typical example of things which are  red. ,red,typical_of_property,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 3, 'true': 2})",5,2,5,0.40444893390685516,"Counter({'false': 0.6090901282768727, 'true': 0.3909098717231274})",0.4,"Counter({'false': 0.6, 'true': 0.4})",0.3909098717231274,0.6090901282768727
d4d8270a-12a0-11ea-b098-acde48001122,52656.2,pit,Being red is necessary for things (a/an) pit usually does or for things we usually do with (a/an) pit. ,red,affording_activity,../analyses/crowdtruth/input/run1-group_experiment1-batch-all-,"Counter({'false': 5, 'true': 0})",5,1,5,1.0,"Counter({'false': 1.0, 'true': 0.0})",1.0,"Counter({'false': 1.0, 'true': 0.0})",0.0,1.0
