,contradiction,label_proportion,majority_labels,majority_levels,pair,top_labels,top_levels
0,False,0.75,rare-variability_limited,few-some,black-pea,variability_limited,some
1,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property,all,hot-fireplace,typical_of_concept,all
2,False,0.875,affording_activity-variability_open,all-some,made_of_wood-strake,variability_open,some
3,False,0.625,typical_of_concept,all,fly-babbler,typical_of_concept,all
4,False,0.75,variability_limited-variability_open,some,sweet-tater,variability_limited,some
5,False,0.875,affording_activity-implied_category-typical_of_concept-typical_of_property,all,dangerous-alligator,affording_activity-implied_category,all
6,False,1.0,variability_open,some,square-kitchen,variability_open,some
7,False,0.75,variability_limited,some,yellow-nectarine,variability_limited,some
8,False,1.0,variability_limited-variability_open,some,made_of_wood-rudder,variability_limited,some
9,False,0.5,,,lay_eggs-basilisk,implied_category,all
10,False,0.625,creative,creative,fly-skimmer,creative,creative
11,False,0.875,rare-unusual-variability_limited,few-some,sweet-pistachio,unusual,few
12,False,0.875,affording_activity-implied_category-typical_of_concept-typical_of_property,all,dangerous-killer,implied_category-typical_of_concept,all
13,False,0.875,affording_activity-implied_category-typical_of_concept-variability_limited,all-some,square-cabinet,variability_limited,some
14,False,1.0,affording_activity-implied_category-typical_of_concept,all,wheels-trailer,affording_activity-typical_of_concept,all
15,False,0.875,afforded_usual-implied_category-typical_of_concept-typical_of_property,all,lay_eggs-leatherback,afforded_usual,all
16,False,1.0,rare-unusual,few,dangerous-file,rare,few
17,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_limited,all-some,sweet-strawberry,implied_category,all
18,False,0.875,affording_activity-implied_category-typical_of_concept-variability_limited-variability_open,all-some,square-keypad,implied_category,all
19,False,0.75,implied_category-typical_of_concept,all,yellow-buttercup,typical_of_concept,all
20,False,0.875,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_open,all-some,hot-vapor,affording_activity-typical_of_concept,all
21,False,0.625,unusual,few,fly-bark,unusual,few
22,False,0.75,unusual,few,wheels-cat,unusual,few
23,False,0.7777777777777778,variability_limited-variability_open,some,black-forepaw,variability_limited,some
24,False,0.8888888888888888,creative-impossible-rare-unusual,creative-few,hot-fridge,creative,creative
25,False,0.7777777777777778,rare-variability_limited-variability_open,few-some,made_of_wood-modillion,variability_limited-variability_open,some
26,False,1.0,afforded_usual-implied_category-typical_of_concept,all,lay_eggs-whitethroat,afforded_usual,all
27,False,0.6666666666666666,variability_limited,some,fly-capsule,variability_limited,some
28,False,0.8888888888888888,rare-unusual-variability_limited,few-some,sweet-flageolet,rare,few
29,False,0.8888888888888888,rare-unusual-variability_limited,few-some,wheels-diner,unusual,few
30,False,0.8571428571428571,typical_of_concept-variability_limited,all-some,sweet-beet,variability_limited,some
31,False,0.8571428571428571,rare-unusual-variability_limited,few-some,black-raspberry,rare-unusual,few
32,False,0.5714285714285714,impossible-unusual,few,lay_eggs-hobby,impossible-unusual,few
33,False,0.5714285714285714,unusual,few,yellow-insect,unusual,few
34,False,0.7142857142857143,unusual,few,dangerous-buffer,unusual,few
35,False,0.5714285714285714,implied_category,all,wheels-tank,implied_category,all
36,False,0.7142857142857143,afforded_usual-implied_category-typical_of_concept,all,fly-arrow,typical_of_concept,all
37,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property,all,hot-geyser,implied_category-typical_of_concept,all
38,False,0.7142857142857143,variability_limited,some,square-recliner,variability_limited,some
39,False,0.7142857142857143,rare-unusual,few,yellow-colocasia,rare,few
40,False,0.8571428571428571,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_open,all-some,made_of_wood-stick,typical_of_property,all
41,False,0.5714285714285714,unusual-variability_limited,few-some,sweet-fennel,unusual-variability_limited,few-some
42,False,0.7142857142857143,unusual-variability_open,few-some,dangerous-pusher,unusual,few
43,False,0.8571428571428571,variability_open,some,hot-bathroom,variability_open,some
44,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property,all,wheels-coach,implied_category,all
45,False,0.7142857142857143,creative-impossible-rare-unusual,creative-few,fly-basset,impossible-rare-unusual,few
46,False,0.875,typical_of_concept-typical_of_property-variability_limited,all-some,black-blackboard,typical_of_concept,all
47,False,1.0,creative-rare-unusual-variability_limited-variability_open,creative-few-some,hot-fruitcake,unusual,few
48,False,0.75,creative-rare-unusual-variability_limited,creative-few-some,made_of_wood-rail,rare-unusual,few
49,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_open,all-some,dangerous-sniper,affording_activity,all
50,False,0.7142857142857143,rare-unusual-variability_limited,few-some,sweet-asparagus,rare,few
51,False,0.8571428571428571,variability_limited-variability_open,some,square-sunroom,variability_limited-variability_open,some
52,False,0.8571428571428571,afforded_usual-implied_category,all,lay_eggs-plaice,afforded_usual,all
53,False,0.625,variability_limited,some,square-footrest,variability_limited,some
54,False,0.75,variability_limited-variability_open,some,sweet-puree,variability_open,some
55,False,0.875,affording_activity-typical_of_property-variability_limited-variability_open,all-some,made_of_wood-headstock,affording_activity,all
56,False,0.75,rare-unusual,few,wheels-trap,unusual,few
57,False,1.0,variability_open,some,black-car,variability_open,some
58,False,0.75,creative-impossible,creative-few,fly-monkey,creative-impossible,creative-few
59,False,1.0,affording_activity-typical_of_concept-variability_limited-variability_open,all-some,hot-pasta,affording_activity,all
60,False,0.875,rare-unusual-variability_limited-variability_open,few-some,made_of_wood-button,variability_limited-variability_open,some
61,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property,all,wheels-cab,affording_activity-implied_category,all
62,False,0.875,rare-unusual,few,dangerous-arm,unusual,few
63,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_limited,all-some,sweet-candy,affording_activity-implied_category-typical_of_concept-typical_of_property,all
64,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_open,all-some,hot-roast,typical_of_concept,all
65,False,0.75,rare-unusual-variability_limited,few-some,black-frogmouth,rare-unusual,few
66,False,1.0,afforded_usual-implied_category-typical_of_concept,all,lay_eggs-typhlopidae,implied_category,all
67,False,0.7142857142857143,impossible,few,lay_eggs-drill,impossible,few
68,False,0.8571428571428571,affording_activity-implied_category-typical_of_concept-variability_limited,all-some,wheels-flatcar,affording_activity-implied_category,all
69,False,0.8571428571428571,creative-rare-typical_of_concept-unusual-variability_limited,all-creative-few-some,black-zebra,variability_limited,some
70,False,0.5714285714285714,affording_activity-variability_limited-variability_open,all-some,sweet-muscat,affording_activity-variability_limited-variability_open,all-some
71,False,0.5714285714285714,unusual,few,yellow-plumeria,unusual,few
72,False,0.8571428571428571,creative-rare-unusual-variability_open,creative-few-some,hot-yogurt,unusual,few
73,False,0.8571428571428571,rare-unusual-variability_limited-variability_open,few-some,dangerous-colchicine,rare,few
74,False,0.5714285714285714,creative-unusual,creative-few,made_of_wood-carabiner,creative-unusual,creative-few
75,False,0.75,affording_activity-implied_category-variability_open,all-some,wheels-carrier,affording_activity-implied_category,all
76,False,0.875,typical_of_concept-typical_of_property-variability_limited,all-some,made_of_wood-ladder,typical_of_concept-variability_limited,all-some
77,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_open,all-some,hot-barbecue,affording_activity,all
78,False,0.75,impossible,few,lay_eggs-pointer,impossible,few
79,False,0.875,impossible,few,fly-haddock,impossible,few
80,False,0.5,,,sweet-shiitake,unusual,few
81,False,0.875,affording_activity-implied_category-typical_of_concept-typical_of_property,all,dangerous-raper,implied_category,all
82,False,0.8571428571428571,rare-typical_of_concept-variability_limited-variability_open,all-few-some,square-fireplace,variability_open,some
83,False,0.8571428571428571,affording_activity-typical_of_concept-variability_limited,all-some,sweet-taro,typical_of_concept-variability_limited,all-some
84,False,0.7142857142857143,impossible,few,lay_eggs-muskrat,impossible,few
85,False,1.0,affording_activity-implied_category-typical_of_concept,all,wheels-taxicab,affording_activity-implied_category,all
