,contradiction,label_proportion,majority_labels,majority_levels,pair,top_labels,top_levels
0,False,0.7777777777777778,rare-variability_limited-variability_open,few-some,black-pea,variability_limited,some
1,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_open,all-some,hot-fireplace,typical_of_concept,all
2,False,0.8888888888888888,affording_activity-variability_limited-variability_open,all-some,made_of_wood-strake,variability_open,some
3,False,0.5555555555555556,afforded_usual-typical_of_concept,all,fly-babbler,afforded_usual-typical_of_concept,all
4,False,0.7777777777777778,creative-variability_limited-variability_open,creative-some,sweet-tater,variability_limited,some
5,False,0.8888888888888888,affording_activity-implied_category-typical_of_concept-typical_of_property,all,dangerous-alligator,affording_activity-implied_category,all
6,False,1.0,variability_limited-variability_open,some,square-kitchen,variability_open,some
7,False,0.7,variability_limited,some,yellow-nectarine,variability_limited,some
8,False,0.9,variability_limited,some,made_of_wood-rudder,variability_limited,some
9,False,0.6,implied_category,all,lay_eggs-basilisk,implied_category,all
10,False,0.7,afforded_unusual-afforded_usual-creative,all-creative,fly-skimmer,creative,creative
11,False,0.9,rare-unusual-variability_limited,few-some,sweet-pistachio,unusual,few
12,False,0.9,affording_activity-implied_category-typical_of_concept-typical_of_property,all,dangerous-killer,typical_of_concept,all
13,False,0.9,affording_activity-implied_category-typical_of_concept-variability_limited-variability_open,all-some,square-cabinet,variability_limited,some
14,False,0.9,affording_activity-implied_category-typical_of_concept,all,wheels-trailer,affording_activity-typical_of_concept,all
15,False,0.8181818181818182,afforded_unusual-afforded_usual-implied_category-typical_of_property,all,lay_eggs-leatherback,afforded_usual,all
16,False,0.9090909090909091,rare-unusual-variability_limited-variability_open,few-some,dangerous-file,rare,few
17,False,0.9090909090909091,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_limited-variability_open,all-some,sweet-strawberry,typical_of_property,all
18,False,0.8181818181818182,affording_activity-implied_category-variability_limited-variability_open,all-some,square-keypad,implied_category,all
19,False,0.6363636363636364,typical_of_concept-typical_of_property-variability_limited,all-some,yellow-buttercup,typical_of_concept-typical_of_property-variability_limited,all-some
20,False,0.8181818181818182,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_limited-variability_open,all-some,hot-vapor,affording_activity-implied_category-typical_of_concept,all
21,False,0.6,creative-impossible-unusual,creative-few,fly-bark,impossible,few
22,False,0.7272727272727273,rare-unusual,few,wheels-cat,unusual,few
23,False,0.8,variability_limited-variability_open,some,black-forepaw,variability_limited,some
24,False,0.8,creative-impossible-rare-unusual,creative-few,hot-fridge,creative,creative
25,False,0.8,variability_limited-variability_open,some,made_of_wood-modillion,variability_limited,some
26,False,0.9,afforded_usual-implied_category-typical_of_concept,all,lay_eggs-whitethroat,afforded_usual,all
27,False,0.7,rare-variability_limited,few-some,fly-capsule,variability_limited,some
28,False,0.8,rare-unusual,few,sweet-flageolet,rare,few
29,False,0.8,rare-unusual-variability_limited,few-some,wheels-diner,unusual,few
30,False,0.9,typical_of_concept-variability_limited,all-some,sweet-beet,variability_limited,some
31,False,0.8,rare-unusual-variability_limited,few-some,black-raspberry,rare-unusual,few
32,True,0.5,,,lay_eggs-hobby,implied_category-impossible-rare-unusual,all-few
33,False,0.6,creative-rare-unusual,creative-few,yellow-insect,creative-rare-unusual,creative-few
34,False,0.8,rare-unusual-variability_open,few-some,dangerous-buffer,unusual,few
35,False,0.6,unusual,few,wheels-tank,unusual,few
36,False,0.7,afforded_unusual-afforded_usual-implied_category-typical_of_concept-typical_of_property,all,fly-arrow,typical_of_concept,all
37,False,0.9,affording_activity-implied_category-typical_of_concept-typical_of_property,all,hot-geyser,implied_category-typical_of_concept-typical_of_property,all
38,False,0.7,unusual-variability_limited,few-some,square-recliner,variability_limited,some
39,False,0.7,rare-unusual,few,yellow-colocasia,rare,few
40,False,0.7,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_limited-variability_open,all-some,made_of_wood-stick,affording_activity-implied_category-typical_of_property-variability_open,all-some
41,False,0.7,variability_limited,some,sweet-fennel,variability_limited,some
42,False,0.8,unusual-variability_limited-variability_open,few-some,dangerous-pusher,unusual,few
43,False,0.9,affording_activity-variability_open,all-some,hot-bathroom,variability_open,some
44,False,0.8,affording_activity-implied_category-typical_of_concept-typical_of_property,all,wheels-coach,implied_category,all
45,False,0.7,creative-impossible-rare-unusual,creative-few,fly-basset,impossible-unusual,few
46,False,0.7777777777777778,typical_of_concept-typical_of_property-variability_limited,all-some,black-blackboard,typical_of_concept,all
47,False,1.0,creative-rare-unusual-variability_limited-variability_open,creative-few-some,hot-fruitcake,unusual,few
48,False,0.7777777777777778,creative-rare-unusual-variability_limited-variability_open,creative-few-some,made_of_wood-rail,rare-unusual,few
49,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property,all,dangerous-sniper,affording_activity,all
50,False,0.75,rare-variability_limited,few-some,sweet-asparagus,rare,few
51,False,0.875,variability_limited-variability_open,some,square-sunroom,variability_limited,some
52,False,0.6666666666666666,afforded_usual,all,lay_eggs-plaice,afforded_usual,all
53,False,0.6666666666666666,variability_limited-variability_open,some,square-footrest,variability_limited,some
54,False,0.6666666666666666,rare-unusual-variability_limited-variability_open,few-some,sweet-puree,variability_limited-variability_open,some
55,False,0.8888888888888888,affording_activity-typical_of_property-variability_limited-variability_open,all-some,made_of_wood-headstock,affording_activity,all
56,False,0.7777777777777778,rare-unusual,few,wheels-trap,unusual,few
57,False,1.0,variability_open,some,black-car,variability_open,some
58,False,0.7777777777777778,creative-impossible-unusual,creative-few,fly-monkey,impossible,few
59,False,0.8888888888888888,affording_activity-typical_of_concept-variability_limited-variability_open,all-some,hot-pasta,affording_activity,all
60,False,0.9,rare-unusual-variability_limited-variability_open,few-some,made_of_wood-button,variability_limited,some
61,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property,all,wheels-cab,affording_activity,all
62,False,0.9,rare-unusual,few,dangerous-arm,unusual,few
63,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_limited-variability_open,all-some,sweet-candy,affording_activity-implied_category-typical_of_concept-typical_of_property,all
64,False,0.9,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_open,all-some,hot-roast,implied_category-typical_of_concept-variability_open,all-some
65,False,0.7,rare-unusual-variability_limited,few-some,black-frogmouth,rare-unusual-variability_limited,few-some
66,False,0.9,afforded_usual-implied_category-typical_of_concept,all,lay_eggs-typhlopidae,afforded_usual-implied_category,all
67,False,0.7272727272727273,impossible,few,lay_eggs-drill,impossible,few
68,False,0.9,affording_activity-implied_category-typical_of_concept-variability_limited,all-some,wheels-flatcar,affording_activity,all
69,False,0.8,creative-rare-typical_of_concept-unusual-variability_limited,all-creative-few-some,black-zebra,unusual-variability_limited,few-some
70,False,0.7,affording_activity-unusual-variability_limited-variability_open,all-few-some,sweet-muscat,variability_limited,some
71,False,0.7,rare-unusual,few,yellow-plumeria,unusual,few
72,False,0.9,creative-rare-unusual,creative-few,hot-yogurt,unusual,few
73,False,0.7,rare-unusual-variability_open,few-some,dangerous-colchicine,rare-unusual,few
74,False,0.6,creative-typical_of_concept,all-creative,made_of_wood-carabiner,creative,creative
75,False,0.8,affording_activity-implied_category-variability_open,all-some,wheels-carrier,implied_category,all
76,False,0.8,typical_of_concept-typical_of_property-variability_limited,all-some,made_of_wood-ladder,typical_of_concept-variability_limited,all-some
77,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_open,all-some,hot-barbecue,affording_activity,all
78,False,0.7,impossible,few,lay_eggs-pointer,impossible,few
79,False,0.8,impossible,few,fly-haddock,impossible,few
80,True,0.5,,,sweet-shiitake,affording_activity-creative-unusual,all-creative-few
81,False,0.8,affording_activity-implied_category-typical_of_concept-typical_of_property,all,dangerous-raper,implied_category-typical_of_concept-typical_of_property,all
82,False,0.8,typical_of_concept-variability_limited-variability_open,all-some,square-fireplace,variability_open,some
83,False,0.9,affording_activity-typical_of_concept-variability_limited,all-some,sweet-taro,typical_of_concept,all
84,False,0.6,impossible,few,lay_eggs-muskrat,impossible,few
85,False,1.0,affording_activity-implied_category-typical_of_concept,all,wheels-taxicab,affording_activity-implied_category,all
86,False,1.0,rare-variability_open,few-some,black-ring,rare,few
87,False,0.9,affording_activity-implied_category-typical_of_concept-variability_limited,all-some,made_of_wood-gunwale,typical_of_concept,all
88,False,0.9,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_open,all-some,dangerous-conspirator,typical_of_concept,all
89,False,0.6666666666666666,rare-unusual,few,dangerous-unction,unusual,few
90,False,0.7777777777777778,affording_activity-implied_category-variability_limited,all-some,wheels-railcar,affording_activity-implied_category,all
91,False,1.0,rare-unusual,few,dangerous-plane,rare,few
92,False,1.0,rare-unusual,few,dangerous-opener,rare,few
93,False,0.5555555555555556,affording_activity,all,wheels-rig,affording_activity,all
94,False,0.7777777777777778,rare-unusual-variability_limited-variability_open,few-some,wheels-stage,rare-unusual,few
95,False,1.0,rare-unusual,few,dangerous-bar,unusual,few
96,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_open,all-some,dangerous-weapon,affording_activity-typical_of_concept-typical_of_property,all
97,False,0.6666666666666666,rare-variability_limited,few-some,made_of_wood-truss,variability_limited,some
98,True,0.3333333333333333,,,fly-lynx,creative-implied_category-impossible-typical_of_concept-variability_limited,all-creative-few-some
99,False,0.5555555555555556,rare-unusual,few,yellow-lavandula,rare-unusual,few
100,False,0.5555555555555556,affording_activity-typical_of_concept-variability_limited,all-some,square-diskette,affording_activity-typical_of_concept-variability_limited,all-some
101,False,0.6666666666666666,impossible-rare-unusual,few,black-butter,impossible,few
102,False,1.0,affording_activity-implied_category,all,wheels-dumper,affording_activity,all
103,False,1.0,affording_activity-typical_of_concept-variability_open,all-some,hot-water,variability_open,some
104,False,0.9,impossible,few,lay_eggs-hare,impossible,few
105,False,0.6,unusual,few,yellow-kingfisher,unusual,few
106,False,0.6,unusual,few,sweet-lentil,unusual,few
107,False,0.9,rare-unusual-variability_limited,few-some,black-ladybird,rare,few
108,False,0.9,affording_activity-implied_category-typical_of_concept-variability_open,all-some,wheels-pedicab,affording_activity,all
109,False,0.8,afforded_unusual-afforded_usual-implied_category,all,fly-duck,afforded_usual,all
110,False,0.7,impossible-rare,few,dangerous-bill,impossible,few
111,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_open,all-some,hot-kettle,variability_open,some
112,False,0.8,rare-variability_limited,few-some,sweet-hazelnut,variability_limited,some
113,False,0.9,creative-rare-unusual,creative-few,hot-candy,unusual,few
114,False,0.8,affording_activity-implied_category-typical_of_concept-typical_of_property-variability_limited,all-some,made_of_wood-timber,typical_of_concept,all
115,False,0.9,affording_activity-implied_category-typical_of_concept,all,wheels-carriage,affording_activity-implied_category,all
116,False,0.7,impossible,few,lay_eggs-eland,impossible,few
117,False,0.7,unusual,few,yellow-vanilla,unusual,few
118,False,0.8,unusual-variability_limited,few-some,black-pipefish,variability_limited,some
119,False,0.9,afforded_usual-implied_category-typical_of_concept-typical_of_property,all,fly-nuthatch,afforded_usual,all
120,False,0.8888888888888888,affording_activity-implied_category-typical_of_concept-variability_limited,all-some,sweet-lemonade,variability_limited,some
121,False,0.7777777777777778,rare-unusual,few,yellow-allspice,unusual,few
122,False,1.0,affording_activity-implied_category-typical_of_concept-typical_of_property,all,wheels-bike,affording_activity-implied_category-typical_of_concept-typical_of_property,all
123,False,0.7777777777777778,rare-unusual-variability_limited,few-some,black-cherry,variability_limited,some
124,False,0.7777777777777778,afforded_usual-implied_category-typical_of_concept,all,fly-bomber,afforded_usual-implied_category-typical_of_concept,all
125,False,0.7777777777777778,implied_category-typical_of_concept-variability_limited,all-some,square-locker,implied_category-variability_limited,all-some
