,pair,n_annotations,n_workers,n_contradictions,n_workers_contradicting,ratio_workers_contradicting,contradiction_annotation_ratio,average_time_pair,annotators_contradicting,"('afforded_unusual', 'unusual')","('afforded_usual', 'unusual')","('typical_of_concept', 'unusual')","('implied_category', 'unusual')","('typical_of_property', 'unusual')","('impossible', 'typical_of_concept')","('impossible', 'typical_of_property')","('affording_activity', 'unusual')","('implied_category', 'impossible')","('implied_category', 'rare')","('rare', 'typical_of_concept')","('rare', 'typical_of_property')","('affording_activity', 'impossible')","('afforded_unusual', 'impossible')","('afforded_usual', 'impossible')","('affording_activity', 'rare')"
35,round-dough,50,5,10,4,0.8,0.2,42.04644,5b99872a357ce300014f2099 5c743796a87fd9001287f48b 5de2515f676a6d286c48fb2c 5de294e8c3bd282be968e7ab,,,4.0,4.0,2.0,,,,,,,,,,,
129,round-pepperoni,50,5,10,3,0.6,0.2,70.14782,5bcbb1963c6f9f0001cc747a 5de77bbf6552bb6e9e080762 5de6dd9be3e0cc6642ea3b33,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,
143,red-lingonberry,50,5,10,3,0.6,0.2,67.11568000000001,592bdd896489ca00013b3fcf 5aecb62ab59b0d00012ea1f7 5b2c567dc01fcb000187e253,,,3.0,3.0,3.0,,,1.0,,,,,,,,
112,roll-eyelet,50,5,10,3,0.6,0.2,83.61663999999999,599aca876b939900012da2cd 5af478d820299700016d0748 5d5eb70caf0eac00178c1a02,3.0,1.0,2.0,2.0,2.0,,,,,,,,,,,
32,round-watermelon,50,5,10,3,0.6,0.2,42.04644,5b99872a357ce300014f2099 5de2515f676a6d286c48fb2c 5de294e8c3bd282be968e7ab,,,2.0,3.0,1.0,1.0,,2.0,1.0,,,,,,,
220,roll-axle,60,15,11,3,0.2,0.18333333333333332,625.7356799999999,5d667b2ac25c160001b0a6da 5ddb44664a113aaa06465dbe 5de7d4bb0d75cf000df7cb3c,2.0,2.0,2.0,2.0,3.0,,,,,,,,,,,
31,round-world,50,5,9,3,0.6,0.18,42.04644,5b99872a357ce300014f2099 5de2515f676a6d286c48fb2c 5de294e8c3bd282be968e7ab,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,1.0,,,
74,roll-tub,50,5,9,3,0.6,0.18,100.78590000000001,5a522443eedc3200014207ec 5a98287ff6dfdd0001ea7af6 5d1a0a47c210c700185e7c05,3.0,1.0,1.0,1.0,1.0,,,,,,,,,2.0,,
327,roll-peg,50,5,9,4,0.8,0.18,54.214800000000004,599747deb5566b0001aa834c 5ae5a589c67d830001ce8c73 5d70ed4be61c8d001cf102d5 5de8e64f913386000ba50bda,3.0,,,,,1.0,,,1.0,,,,,3.0,1.0,
230,roll-flywheel,50,5,9,2,0.4,0.18,85.33538000000001,5d3f14f66a8a4e0018c17ed9 banking,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,
235,roll-car,50,5,9,4,0.8,0.18,91.59432000000001,5bb3e96383d96f0001184ef4 5c8f9cfea4b1bd0017fb664d 5ce4db1f65cce3000166882d 5de4e677e3e0cc47d22a3860,4.0,1.0,1.0,2.0,1.0,,,,,,,,,,,
358,roll-paint,50,5,9,2,0.4,0.18,76.86537999999999,579a2047275be6000135a94c 5c91321c0375460001034cb8,2.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,,
29,red-radish,50,5,9,3,0.6,0.18,57.71166000000001,5dc0395f2a1dd64710661ccd 5ddc56fbf290e7bbfa96481d 5de8576d4f21b47d008d37c7,,,3.0,2.0,2.0,,,2.0,,,,,,,,
281,roll-caber,50,5,9,3,0.6,0.18,100.29946000000001,5bb235d90cb04c00014e5baf 5bb2db13f05e410001fa0c8a 5d4434c68225f9001642fcd3,3.0,,1.0,2.0,,1.0,,,1.0,,,,,1.0,,
276,roll-hubcap,50,5,9,2,0.4,0.18,52.46538,5d77940e1ba9c60016f0d17f 5de8dc07f42a16000a301cd6,2.0,1.0,2.0,2.0,2.0,,,,,,,,,,,
92,round-soup,150,15,26,7,0.4666666666666667,0.17333333333333334,77.86155333333335,5b994a6d700b020001c572e2 5d134f52f1341200164f90e4 5de4e06be4f42a477cdbb682 5c4e3248ad466000019166df 5c1d4d88508cfd000103dc47 5e22fe5aed7a205b0626f097 5e71fc448ebe4211e668e71f,,,4.0,5.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,1.0
171,roll-projectile,60,15,10,3,0.2,0.16666666666666666,556.7700733333332,59d3764946447f00011f0407 5b2e41eb1d2f710001fb32db klarinka.b@gmail.com,3.0,2.0,2.0,1.0,2.0,,,,,,,,,,,
400,roll-alloy,60,6,10,3,0.5,0.16666666666666666,70.47066666666666,5ba797ad7c0ebe000127092a 5cfd0ec4a6723500162fb445 Karolina,3.0,1.0,2.0,2.0,2.0,,,,,,,,,,,
59,round-disk,148,15,24,6,0.4,0.16216216216216217,104.43534666666666,5db954a2af32f6000a8fe36c 5ddae8d6c23e0da4764f9fae 5de78426bbdd79000ec0259d 5d36d1001d6ff70001f0f374 5cea706c0afd6e0001a9e93e 5e76ab49dec4562243b421f9,,,3.0,5.0,5.0,,1.0,6.0,,1.0,,1.0,1.0,,,1.0
194,roll-tappet,87,20,14,6,0.3,0.16091954022988506,472.1314928571429,5be964367514d0000108cefc 5cc7af94cd7a550019b5a460 5da4a23630871900154e0d5c 5dd7f4dbdcec87782e2d4e5c 5de122c7ff15c24523bccf21 5ddf8f46d0e07e000a396562,2.0,1.0,,1.0,1.0,1.0,3.0,,,,,,,2.0,3.0,
113,red-syrup,50,5,8,3,0.6,0.16,83.61663999999999,599aca876b939900012da2cd 5af478d820299700016d0748 5c8119441c40f30001b464b1,,,1.0,3.0,1.0,,,3.0,,,,,,,,
356,red-pansy,50,5,8,2,0.4,0.16,76.86537999999999,5bf9146118430e0001861d8e 5c91321c0375460001034cb8,,,2.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,
425,roll-bumper,50,5,8,3,0.6,0.16,67.80354,5b58e75f57f6aa00010a56e1 5d7c8c85f0f16600017679be 5d6ec714d7d0900001831ade,3.0,1.0,,,1.0,,1.0,,,,,,,1.0,1.0,
286,red-cucurbit,50,5,8,3,0.6,0.16,100.29946000000001,5bb235d90cb04c00014e5baf 5c03d56b5c059400011552ed 5d4434c68225f9001642fcd3,,,,3.0,1.0,,1.0,1.0,1.0,,,,1.0,,,
132,roll-radiator,50,5,8,3,0.6,0.16,70.14782,5a4bf85dac413f0001e6076a 5de77bbf6552bb6e9e080762 5de6dd9be3e0cc6642ea3b33,3.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,
119,round-chive,50,5,8,3,0.6,0.16,57.277040000000014,5c547ab2fd88bb0001868aec 5c9e010f7706ba001215deb1 5de936b4f87f550612b5f282,,,1.0,1.0,1.0,,1.0,1.0,2.0,,,,1.0,,,
357,red-mangifera,50,5,8,1,0.2,0.16,76.86537999999999,5c91321c0375460001034cb8,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,
147,red-lip,50,5,8,2,0.4,0.16,72.17190000000001,5b7ac2d72e4a8200017a512f 5c8bfcd7e5265900010d7ba6,,,2.0,2.0,2.0,,,2.0,,,,,,,,
359,roll-skateboard,50,5,8,2,0.4,0.16,76.86537999999999,5de7e9184fc566745514109b 5c91321c0375460001034cb8,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,
173,round-egg,50,5,8,3,0.6,0.16,23.56302,59d3764946447f00011f0407 5a828ebeeea3d300016e5389 klarinka.b@gmail.com,,,2.0,3.0,1.0,,,2.0,,,,,,,,
361,round-soursop,50,5,8,2,0.4,0.16,76.86537999999999,5de7e9184fc566745514109b 5c91321c0375460001034cb8,,,1.0,1.0,1.0,1.0,2.0,,2.0,,,,,,,
326,round-coconut,50,5,8,3,0.6,0.16,54.214800000000004,5ae5a589c67d830001ce8c73 5d70ed4be61c8d001cf102d5 5de8e64f913386000ba50bda,,,2.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,
0,roll-rope,50,5,8,3,0.6,0.16,62.771339999999995,5bec28bf65c4360001e8590c 5cfa7e66b131cd001aa86c44 5d025e0959967a0019b3db84,3.0,1.0,2.0,2.0,,,,,,,,,,,,
218,roll-nozzle,50,5,8,4,0.8,0.16,55.41124,5d667b2ac25c160001b0a6da 5ddb44664a113aaa06465dbe 5de631043cf27959fe70269c 5de7d4bb0d75cf000df7cb3c,3.0,,1.0,,1.0,,1.0,,1.0,,,,,,1.0,
408,red-grapefruit,150,15,23,8,0.5333333333333333,0.15333333333333332,74.22518,5c3679bf7ab36100015c2276 5d82533077c5290015e77b99 5dbb81ae6d82ff16f84bb066 5e385a484af60703465f207d 5e5d84d591b5f0094e38ec2a 5e673f3fb47a554b79b02c5a 5e6a63a7d6d433011c20639b 5e6f88ac12fd1f000cdf2403,,,4.0,5.0,1.0,1.0,,4.0,1.0,2.0,2.0,,1.0,,,2.0
373,roll-bucket,60,15,9,4,0.26666666666666666,0.15,768.4467133333333,591d7a33e4b20e00016c2798 5a473bda7aebf70001153fb5 5d53cd2405ac770016f224e5 5db35f3fe6208e000af26586,3.0,,3.0,2.0,1.0,,,,,,,,,,,
46,red-ketchup,54,5,8,2,0.4,0.14814814814814814,77.51511428571428,5bab3e1f24c3260001663809 5c9104c4eeadb5001678f598,,,2.0,2.0,2.0,,,2.0,,,,,,,,
413,round-quesadilla,54,5,8,3,0.6,0.14814814814814814,49.142982857142854,5c3679bf7ab36100015c2276 5d82533077c5290015e77b99 5de7ef8fa2db8976dd0c9b01,,,2.0,3.0,2.0,,,1.0,,,,,,,,
374,round-potato,142,15,20,6,0.4,0.14084507042253522,79.72941999999999,5a473bda7aebf70001153fb5 5db35f3fe6208e000af26586 5665df264ef504000d7b6f62 5a298e43e2032600017f44fd 5bb8b67cf1f9ba0001412b97 5c1d4d88508cfd000103dc47,,,5.0,4.0,3.0,1.0,1.0,4.0,1.0,,,,1.0,,,
255,roll-roller,57,5,8,2,0.4,0.14035087719298245,84.01205411764707,5de2a39c8691182c3ed485ff 5de67f3e36d8255fc22d6137,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,
299,roll-grip,50,5,7,4,0.8,0.14,51.76862000000001,5b715e02b5d9590001824e3d 5d9e5674421f180015f93c96 5de64adbbe4cdf000cb6a61e 5de76e8d36d8256e47625c4f,3.0,,1.0,,1.0,,,,,,,,,2.0,,
305,red-lipstick,50,5,7,2,0.4,0.14,59.799,57617fdb1a5ecc0006fc3860 5ddc0d87d3ac2ad102aff2b9,,,2.0,2.0,2.0,,,1.0,,,,,,,,
309,roll-tire,50,5,7,2,0.4,0.14,59.799,57617fdb1a5ecc0006fc3860 59dc2e2016ecc200016fea95,,2.0,1.0,2.0,2.0,,,,,,,,,,,
242,round-pineapple,50,5,7,2,0.4,0.14,65.37692000000001,5c8abb61e1b6910001b30615 5de4f1a3521f954934d8a5ab,,,2.0,2.0,2.0,,,1.0,,,,,,,,
192,roll-brake,50,5,7,4,0.8,0.14,60.64486000000001,5b730c180da966000147f66c 5c0fc9645096c60001f15b12 5dd7bd5fe9a0ba7539b35a99 5dddbebeb966ded354c7ab3b,3.0,,3.0,,,1.0,,,,,,,,,,
189,roll-acrylic,50,5,7,4,0.8,0.14,60.64486000000001,5b730c180da966000147f66c 5c0fc9645096c60001f15b12 5dd7bd5fe9a0ba7539b35a99 5dddbebeb966ded354c7ab3b,2.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,
164,red-apricot,50,5,7,2,0.4,0.14,44.86628,5cd94cb10196990019dbcb09 5de79de25feb6e705b799e45,,,1.0,2.0,2.0,,1.0,,1.0,,,,,,,
134,round-peanut,50,5,7,3,0.6,0.14,70.14782,5a4bf85dac413f0001e6076a 5bcbb1963c6f9f0001cc747a 5de77bbf6552bb6e9e080762,,,1.0,3.0,2.0,,,1.0,,,,,,,,
133,roll-propeller,50,5,7,2,0.4,0.14,70.14782,5de77bbf6552bb6e9e080762 5de6dd9be3e0cc6642ea3b33,2.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,
209,round-shoe,150,15,21,6,0.4,0.14,87.13292,5b83c47e67b3b70001915d6a 5bbbc0f56322c500015a53a1 5bf4d30498496900016ffd14 5bfe6f8c6e6cd80001bea615 5c8d3f8bf756d40016683868 5e6a3ff6a21e120a40d76a84,,,2.0,4.0,4.0,,2.0,2.0,1.0,1.0,,2.0,1.0,,,2.0
416,round-cherry,145,15,20,6,0.4,0.13793103448275862,46.179520000000004,5aeaf8170a90530001bed0a2 5c609050808997000178ad7a 5ddd1a65798297c76102df27 5ddd4e1144840502f8c3dfcd 5e77795324d7c92e567b3e82 5d23c63ad8324d0001efe974,,,4.0,5.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,1.0
163,round-disc,146,15,20,5,0.3333333333333333,0.136986301369863,81.86620222222224,57a25e691602010001041ab1 5cd94cb10196990019dbcb09 5de79de25feb6e705b799e45 5d7a42caf0a2960016536deb 5e6f8c15fe7a000009575a52,,,5.0,5.0,3.0,1.0,1.0,3.0,1.0,,,,1.0,,,
157,round-custard,150,15,20,7,0.4666666666666667,0.13333333333333333,96.99479333333332,5c5758e9efe1550001dc31b6 5bb5c54dc9fbd80001037ca2 5c35e108f5ebd5000184599e 5c6fc2aae51f6c0001dd2fa1 5cea706c0afd6e0001a9e93e 5e76ab49dec4562243b421f9 5e773bd402f929299ffaa47d,,,1.0,3.0,1.0,2.0,,3.0,1.0,3.0,1.0,,2.0,,,3.0
312,roll-leather,61,15,8,3,0.2,0.13114754098360656,614.6214975757576,5d362118bd3f570016067a6b 5de5157820c5aa09b7a53b89 5de638b5555aef5b117f2429,2.0,,,,,1.0,1.0,,1.0,,,,,3.0,,
197,roll-lathe,77,10,10,4,0.4,0.12987012987012986,139.62948571428572,598780a5e8d50e0001d7c273 5c617fed0863210001642974 5dd7f4dbdcec87782e2d4e5c 5de122c7ff15c24523bccf21,1.0,2.0,1.0,1.0,2.0,,2.0,,,,,,,,1.0,
252,round-tray,150,15,19,4,0.26666666666666666,0.12666666666666668,72.47554,5c1d4d88508cfd000103dc47 5e22fe5aed7a205b0626f097 5e570f6b38fb3a0d3c15e266 5e71fc448ebe4211e668e71f,,,2.0,3.0,1.0,,1.0,3.0,1.0,3.0,2.0,1.0,,,,2.0
105,red-juice,49,5,6,1,0.2,0.12244897959183673,30.617880000000003,bladakura,,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,
17,red-beetroot,49,5,6,3,0.6,0.12244897959183673,53.44497777777777,5a50c8afac562400015353b7 5de0557af31ad20d81756185 5baa4c22c4d93b0001bea5a5,,,1.0,3.0,1.0,,,1.0,,,,,,,,
186,red-hazelnut,50,5,6,2,0.4,0.12,60.64486000000001,5b730c180da966000147f66c 5c0fc9645096c60001f15b12,,,1.0,1.0,1.0,,,2.0,,,,,1.0,,,
251,red-grape,50,5,6,3,0.6,0.12,56.499919999999996,5d0269c97b218c00154bd1bf 5db312a14e72fe000cfb3d03 5ddec0b5535a71e309ca658f,,,1.0,3.0,1.0,,,1.0,,,,,,,,
386,roll-blade,50,5,6,4,0.8,0.12,58.4148,5bab67d77c0ebe000127dcc5 5bdb859c18f1b90001738f4a 5d7e4e3f3795e900011677fe 5d8e45a7d89bf800136c78e1,3.0,,1.0,,,,,,,,,,,2.0,,
221,roll-urethane,50,5,6,3,0.6,0.12,55.41124,5d667b2ac25c160001b0a6da 5de631043cf27959fe70269c 5de7d4bb0d75cf000df7cb3c,1.0,,,1.0,,,,,1.0,,,,,2.0,1.0,
208,roll-washer,50,5,6,2,0.4,0.12,79.21918000000001,5bbbc0f56322c500015a53a1 5bf077d95fc1db0001305dd4,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
273,red-pignut,50,5,6,2,0.4,0.12,52.46538,5d77940e1ba9c60016f0d17f 5de8dc07f42a16000a301cd6,,,1.0,2.0,2.0,,,1.0,,,,,,,,
331,round-orange,50,5,6,2,0.4,0.12,54.214800000000004,5ae5a589c67d830001ce8c73 5de8e64f913386000ba50bda,,,2.0,2.0,1.0,,,1.0,,,,,,,,
43,red-lobster,50,5,6,2,0.4,0.12,53.84756,5bfa79fdb8a4c50001b8a68a 5c37b6c692952a0001b3216d,,,2.0,2.0,1.0,,,1.0,,,,,,,,
109,red-bloodstone,50,5,6,2,0.4,0.12,83.61663999999999,599aca876b939900012da2cd 5af478d820299700016d0748,,,2.0,2.0,1.0,,,1.0,,,,,,,,
110,red-lewisia,50,5,6,3,0.6,0.12,83.61663999999999,599aca876b939900012da2cd 5af478d820299700016d0748 5d5eb70caf0eac00178c1a02,,,1.0,3.0,1.0,,,1.0,,,,,,,,
330,round-pecan,50,5,6,3,0.6,0.12,54.214800000000004,5ae5a589c67d830001ce8c73 5d70ed4be61c8d001cf102d5 5de0e675a1a3fb13a6e351fc,,,1.0,,1.0,1.0,2.0,,1.0,,,,,,,
234,roll-bushing,50,5,6,2,0.4,0.12,91.59432000000001,5c8f9cfea4b1bd0017fb664d 5de4e677e3e0cc47d22a3860,2.0,,,1.0,1.0,,1.0,,,,,,,1.0,,
349,round-marshmallow,50,5,6,3,0.6,0.12,69.1459,59e5177f16ecc200016fefc1 5d1dc300a7056c001674fd3a 5be975720e366e0001763237,,,1.0,3.0,1.0,,,1.0,,,,,,,,
177,roll-handlebar,50,5,6,4,0.8,0.12,89.33108,587968cb5c17910001ea5190 5b5c2fdbf7591300019061a1 5c2e0e0b8a20f50001e9fba0 5de7eb635a8f947536c2e41e,4.0,,,1.0,,,,,,,,,,1.0,,
114,red-geranium,50,5,6,2,0.4,0.12,83.61663999999999,599aca876b939900012da2cd 5af478d820299700016d0748,,,1.0,2.0,1.0,,,2.0,,,,,,,,
1,red-clothing,50,5,6,3,0.6,0.12,62.771339999999995,5c28f3efdfe7fc0001cd8b28 5cfa7e66b131cd001aa86c44 5d025e0959967a0019b3db84,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,
224,round-salad,142,15,17,5,0.3333333333333333,0.11971830985915492,81.16519333333333,5c5758e9efe1550001dc31b6 banking 5d1c06cb799c310017c90868 5e0d4056dcd3e34d031771cf 5c729af09048710001bcdeac,,,2.0,4.0,4.0,,1.0,2.0,,1.0,,2.0,,,,1.0
205,round-circle,176,20,21,5,0.25,0.11931818181818182,110.41286583333333,5dd7f4dbdcec87782e2d4e5c 5de122c7ff15c24523bccf21 5bfe6f8c6e6cd80001bea615 5c8d3f8bf756d40016683868 5e6a3ff6a21e120a40d76a84,,,3.0,3.0,3.0,1.0,1.0,2.0,,1.0,2.0,2.0,1.0,,,2.0
343,red-ginger,143,15,17,6,0.4,0.11888111888111888,65.62875777777778,58dcfd5a09694a0001a35e0b 5dcc61ad900e3e8fe2aa68aa 5dc029217fa54e4545661559 5dcd8924bab2ec056fb73b82 5e78b314dec8904388503b8b 5e78cd5a867cd1012a69ad8b,,,3.0,2.0,3.0,1.0,,2.0,,2.0,2.0,1.0,,,,1.0
58,round-curd,152,15,18,7,0.4666666666666667,0.11842105263157894,66.74943555555555,5db954a2af32f6000a8fe36c 5ddae8d6c23e0da4764f9fae 5de78426bbdd79000ec0259d 5d36d1001d6ff70001f0f374 5e70bc96e121de000b95c20e 59f25f8fcc514a00011a673d 5e7376da9674532c00ed8b18,,,2.0,3.0,3.0,1.0,2.0,2.0,3.0,,,,1.0,,,1.0
195,round-berry,76,10,9,2,0.2,0.11842105263157894,129.73594166666666,5dd7f4dbdcec87782e2d4e5c 5de122c7ff15c24523bccf21,,,2.0,2.0,1.0,1.0,,1.0,1.0,,,,1.0,,,
261,round-sundae,153,16,18,5,0.3125,0.11764705882352941,147.89953333333332,5caccbc4976d010014b9cd9d 5db1e70a4f275f000c2f8ee3 5ddcbe9cf3b7c2c1d37f3c13 5e6f98ded5d246555d98c6e0 5e6f91fe74ff43011dd127ec,,,2.0,3.0,2.0,1.0,1.0,3.0,1.0,,1.0,,2.0,,,2.0
24,roll-ferrule,60,15,7,3,0.2,0.11666666666666667,612.2780866666667,5dc0395f2a1dd64710661ccd 5ddc56fbf290e7bbfa96481d 5de8576d4f21b47d008d37c7,2.0,,,2.0,,,,,1.0,,,,,2.0,,
403,roll-kiln,60,6,7,4,0.6666666666666666,0.11666666666666667,70.47066666666666,5ba797ad7c0ebe000127092a 5cfd0ec4a6723500162fb445 ae Karolina,1.0,,2.0,1.0,,1.0,,,,,,,,2.0,,
87,roll-dowel,60,15,7,2,0.13333333333333333,0.11666666666666667,532.38262,5b281303007d870001c7f24a 5c097af754deae0001ac6534,2.0,2.0,1.0,2.0,,,,,,,,,,,,
45,round-omelette,52,5,6,2,0.4,0.11538461538461539,79.41026666666667,5bab3e1f24c3260001663809 5d4ab5d644c0ee0001740f61,,,2.0,2.0,1.0,,,1.0,,,,,,,,
123,red-nectarine,150,15,17,5,0.3333333333333333,0.11333333333333333,78.04699333333333,5b9581133b90af00014e3cb2 5c79d035998fb70001efcf1e 5de043dae448c60bb13722af 5b222aff59f9620001c109cb 5d76a2dc2a476a0001ce6843,,,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,2.0
229,round-marzipan,150,15,17,5,0.3333333333333333,0.11333333333333333,102.68481333333332,5c5758e9efe1550001dc31b6 5d3f14f66a8a4e0018c17ed9 banking University student 5e76ab49dec4562243b421f9,,,2.0,4.0,4.0,1.0,2.0,1.0,3.0,,,,,,,
