pair,n_annotations,n_workers,n_contradictions,n_workers_contradicting,ratio_workers_contradicting,contradiction_annotation_ratio,n_possible_contradictions,contradiction_poss_contradiction_ratio,average_time_pair,workers_contradicting,workers_not_contradicting,"('afforded_usual', 'unusual')","('typical_of_concept', 'unusual')","('implied_category', 'unusual')",annotations_with_contradiction,"('typical_of_property', 'unusual')","('impossible', 'typical_of_concept')","('impossible', 'typical_of_property')","('affording_activity', 'unusual')","('implied_category', 'impossible')","('affording_activity', 'impossible')","('afforded_usual', 'impossible')"
red-cucurbit,50,5,8,3,0.6,0.16,40,0.2,100.29946000000001,5bb235d90cb04c00014e5baf 5c03d56b5c059400011552ed 5d4434c68225f9001642fcd3,582c280c3b081f0001510456 5bb2db13f05e410001fa0c8a,,,3.0,60a45613-b486-4e2d-ba5e-7874a4546d94 e72ec23d-6397-40d9-bff0-351f0475ebde d49e8839-0fb7-4570-b097-defce47019f6 ba82208b-159a-4550-b5b7-d8fc40b82a42 c87476c6-dde9-4b02-a647-bf89e6a01c4f 4fa03110-8118-4d17-b9cd-b06893002ef7 61113bf5-d874-49d8-840f-a9f061ce4072 605c6804-22e8-4c25-8ab7-ca368ec16c49 693939b9-76b1-4366-9db9-60a869c92bc1 034b23d3-3b21-45cd-815f-fe70f47e2b16 1a4911c0-bc16-4315-a5d2-e4a831d1de18 ff344da3-9c67-4f5a-851c-4609032b4983 33852a45-e02e-435a-af12-3773f9ff7412 6d78d630-71c3-40d5-8b8a-e866dd9184ca 0265ec3f-b3c1-46e6-8ba2-836b3acc9ba1 46f32a60-cbe5-40ef-a174-80a36f2a72ab 289d59bc-108c-49f7-ba4b-abc71001a3e1 11c24889-107f-45bc-b3b4-5a6170ee8bd2 307949f3-efa0-4865-a75b-389034c002ed b8c52d53-5a0f-4bb9-b300-cd6f7b00544c eec5e4a3-e967-4ff9-95b9-b16709e3c45d 9f7d4ee2-0ea4-4f68-b83e-4506f43c8a72 bf8efedd-30fb-480d-a0c0-0fcb7ec90b8c bf5345fb-19fb-47a4-bdda-25d44d3e728a fd5dd495-bf80-4dad-97d7-2878912daef2 dc6b166c-4080-4e98-a605-d25655e4bd99 7262dac8-65f0-4f58-863c-f82e3c33d37c 84d965d0-4c3e-44a0-99a5-106459cbcbca b6dd624a-85a5-4328-8313-5e85aa507fe0 506506be-e21a-497a-9a07-729745602a69,1.0,,1.0,1.0,1.0,1.0,
red-pot,50,5,4,3,0.6,0.08,40,0.1,67.59326000000001,5c097af754deae0001ac6534 5d598dff48766d0001949fb6 5de6e6eda63c7b6655e3eb3b,5b281303007d870001c7f24a 5cfa90ccd128950001311ed0,,,2.0,ebcc5ebd-c9e3-4ff4-8a6e-c4880e8b4378 3823bd05-6725-4b2f-9794-7f840200346f f465a0ed-de93-465b-9bc4-33040fa10a42 3e830028-844f-481d-9805-d3d890f34754 1d6b2490-371c-4799-8d74-e8be6b87dc60 b5d2b4c6-29d7-4136-9849-2f8487922e86 af49095b-facf-40af-830f-09cb44884816 f527b0ae-aa9f-4ed8-85bd-986e1564c8a6 b4907e18-474e-4026-b480-747897b75b54 c82a56ae-489f-4f04-88de-6311f157ab6c d5abdab0-f9cb-4e67-a6ad-73b1ddde9cc7 a3e85687-f00d-49f9-b7be-d80aae870939 f43e5b9a-7d38-46b8-94cd-4354f380eb57 e9935133-3a36-42b7-90cc-cc70efc4ce36 1190b41f-38d0-4b00-8a42-6229489e0173 10437c3e-039e-400f-96d1-17332d4bfc21 7e48f035-01e8-411c-bdf2-76143b2451a3 f75f64a5-ac15-498d-93cc-ffcf200a1e91 d958f3cb-6507-4510-9881-14f2229798ac d81dcdc6-1fe6-45c4-910a-fa40b22c4692 f9034d36-3548-4539-9cf8-8c77dcc95470 3e4918f6-0a0f-4e5c-9b58-fcf3a34d061f bb7a3c5a-5c31-4ca1-8ec7-ac2f56b6958f ca60b1fc-1eab-4154-9840-47e7fb897d45 9bd0d841-8b01-4f93-a2e6-eff4cb50a341 56d2e9aa-4fc2-4ea7-8f27-8b101554df06 e85d3308-1138-4ec6-a6fe-1c15a7d19321 d6f6f009-ea00-4778-bdc5-386fda997a9e 20edc49d-b093-4eed-84b4-aa5335e6d12c 3a63f7ee-b8fc-4d3b-8009-7532d3a479ad,1.0,,,1.0,,,
round-room,50,5,4,3,0.6,0.08,40,0.1,100.78590000000001,5a98287ff6dfdd0001ea7af6 5d1a0a47c210c700185e7c05 5de4bdff9d5c0f063f3f45e9,5a522443eedc3200014207ec 5bbc603e7624280001366e60,,1.0,2.0,bdf50673-74ed-42a5-bdc1-e9a4d91f4c95 68658a5a-9b6a-42c0-8dfd-d192e56716bc 1658b7df-0be9-4939-a8a7-05c928e19874 bc9b0172-ce1d-4821-b7c2-1b0331d284cd 0d7fb586-f7e9-42a2-89f5-178581bf8366 5d1f2eb1-765b-4029-a0fe-a5b032cb6526 55c8d864-3116-4699-8de1-ab10900cec00 e4295e05-ef76-4471-a60a-a47eb1bf4b50 fca545f5-0004-40de-96e8-7024ff9ae14b 34539b8f-e10f-416a-8672-21c47abc69fa 4a703882-aec4-44fe-98d9-8560eb977a45 e6873f17-a75a-462b-a624-c374e66591bf f36d3ba9-a6eb-48f0-b0ff-8fb1033a9e51 25258911-a263-42fa-920c-b9c7f187f01b fcb25dc7-37a9-43b7-b180-68120b9cf6ec 84cd97ae-6663-4036-97e7-4e517efee613 cd6562f0-28c1-48db-af2a-1f7bfc8dadf4 a85e7bfe-9509-4cd5-bba8-b5cde5f55cbc 4bebdc87-76d8-45a0-9416-93b201cba93b d3ddf75e-b93d-4af6-94ce-d050b5995706 71902cd5-6ef1-4a0b-a248-b479affd068d 10bee999-b029-46b9-bd34-6826c070dfdf 6178c861-2618-4972-b060-21816b1c06ed ae0d0dad-1f27-452e-a9d6-d37d52199860 eeec1664-8596-407b-a1b8-2b46bb763688 118ebfd3-c875-47b6-b094-9caf3cc153b7 961c6266-028b-417e-b9e9-aec6f57c8ebc 730ad47c-d83e-4107-917d-8ac83e2425bf ac3c0f6c-f4c2-4981-b8fe-1aa69f40882e 454da41d-a103-44a5-93f6-23537fd414de,,1.0,,,,,
red-herring,50,5,3,3,0.6,0.06,40,0.075,85.89822,5ad90f90dec767000128a5f4 5aeded8f0ccc2e0001858d79 5d00e117eb8afc00156d3317,5c506148bfe6820001309a06 5c9eda5a32060c0015a6d6ab,,1.0,1.0,031cc7a8-82a8-4604-b11d-513a6b538960 4951273f-5d0d-471f-ab81-3641f7ec2d2e a7b7f5c6-52b3-4fc4-b616-2e596c804996 b082282b-9608-4e8d-8db8-092285636543 4a026fdb-3791-49ff-ad9f-2e9170e63574 8e780d72-5c5b-45a6-9d94-239bd0d565b5 dd77e8f4-026b-4d3a-bb3e-8f2b60c219f2 c8f04177-1b0b-45b0-948e-e7f7322bc6fb 3d5f140c-78c3-48b9-9aa7-bae961d27507 f140cd04-729b-40f7-a0d3-e7035ba536d7 08c9e7c4-70e8-42b3-a80d-bcf99669d743 212ead0f-3caf-4a07-a0f0-787ef8d50110 a941f9f9-7908-40de-85c8-8af2e90012ef 381b9f0c-c7b0-46d4-ae30-b0311842b58d 285d4586-8f6f-4d5d-9f50-79d5f65b702c 6b93bcb1-ad56-4b06-9bb0-01dd4d9bddf8 1eff8be2-92d4-40fa-9dc9-a0d74c2d529d f27648bd-ad57-4aa0-a28f-443094e25f26 540e9e7a-2203-45c4-baa3-0817712ff877 b5fa77fb-d448-456e-9d7f-b9863f925ee3 9b5bd112-49b3-485d-8ce8-6aace8c32cfe bbfb6c5e-5713-4266-9551-56e9237466e5 d81e76a8-67dd-41ae-ba08-0e75038d5ca9 a2d3df36-76ce-491d-a18a-fd7f5547b846 f4f736d1-9f51-4320-aabe-9537652dda38 22b274eb-876e-45d6-a90b-ab8e230e3c31 a2a351d3-8e5c-40cb-b18d-e9d3f32a67bc 2ac9c8cb-75fc-4f16-8cf5-d429fab11eb1 b1be617f-90bc-46fe-ba35-ddb1650e4fd1 b13e0b71-866b-40c8-8475-3f6786c5e3cf,,1.0,,,,,
roll-hose,58,5,11,3,0.6,0.1896551724137931,40,0.275,83.57148222222223,5aea9842ba2926000102f326 5d4725646cdbdf001a122fea 5de67f3e36d8255fc22d6137,5de2a39c8691182c3ed485ff 5de68727674832000dbeb1ca,1.0,2.0,2.0,785601f9-416c-471b-aba4-1d9f8b6a2f18 206b5d9d-1c0c-4725-be61-5adb2c6ed7f9 ce7c9488-b866-4414-8195-a25a6f0d8e82 42afb88f-20c7-4ec3-822c-25f7dd2eafaf de08b73f-0245-405d-953e-7ff815541260 01ebf13d-74ab-4d98-88ab-17e3e624671d cc4589a8-22eb-4fbf-b602-99d6de237ce3 8734b3c1-51aa-4600-b46d-e6dcfda48cd4 ebdb4147-cad3-4fbe-bf0b-09837d34eddb ae9d2091-4831-49b9-8d7f-79675f8ea1e0 badd5769-9dc2-4523-8a34-89fe5d1be42a 12bca4e8-ef96-40a2-9e8e-ebee86edeeb3 7fc019c5-6356-4ecc-a502-6913a5a22b7d a2b3583b-0b37-4cee-b07a-634831bdd6ae 05f84ae9-0518-4844-8ace-33531ce10c62 e78e7e5f-7e95-4f56-8681-20a7004c15ed 2e63673e-38b4-4c1d-8a39-57761ee357a8 e2736aae-c5af-4728-a138-b71253af697c 880f2e3a-b400-47d8-bfb0-372b3949dc75 36842860-8894-48eb-96b5-5eb5f5b21012 aecf78ab-2a4e-4a9a-8c5e-69c9f0cf718c bf6347e9-b540-4d22-bedc-e2ac3b1cdb3d e81bed5c-6ae2-4a09-8415-de2b64608988 fb89d89c-0aa8-4878-8989-ae878eec3beb ee39aed6-5571-4a2e-807b-be4ca962cb5a b1512658-ac86-423b-8ebd-5f94f3788623 55d30ecc-1199-448c-a478-2f9a0787c4c1 b0fa0e75-694e-4747-9e5e-2ba3c231c170 8ef30461-3c14-4cc3-a787-54c0595ad3b6 a93364b4-3ecf-4f25-9cd0-3301d44fe3b6 edec1b71-5212-4eaf-a2fe-4c22796e01db 1d198973-646a-4f28-9a7d-8d0f39a20fea 971aae4f-f6a9-4138-80f6-731879a0c23b 38fb1b51-b1e6-4a54-a5a3-da204210b0bd 6cf29302-1711-45c2-ba13-fd1321e95a40 238a6d3d-b349-409c-85c0-e4e87a7f27a4 af53fa77-4182-4f7f-b6eb-4155d1f8de09 ce5ab1ce-3b00-4846-a462-fa431777e4e3,2.0,1.0,1.0,,1.0,,1.0
red-syrup,50,5,8,3,0.6,0.16,40,0.2,83.61663999999999,599aca876b939900012da2cd 5af478d820299700016d0748 5c8119441c40f30001b464b1,55887149fdf99b5a49c225e3 5d5eb70caf0eac00178c1a02,,1.0,3.0,8f7eb6b6-7653-469a-aafc-215bb247a05f 3f6bed3f-67a0-4dd1-912e-d25e0c4788aa 4a4e5f22-2663-41d4-a168-3010d3040e5c 80736434-2544-47fe-8f2e-00035803834d 38e41747-9d8d-410a-bbed-7662ae1e73b4 d1128fe1-83e7-4fe6-ad71-b81069b44cda 7bd34d22-17a5-4934-99fc-b7e8d75614e0 c013430a-89cb-4114-b675-3966c1acd7db 1f63e763-c758-4c86-b058-6e1864c48b77 7e4dd66f-53da-4796-a75d-ce6f1d8e68c2 b9997b36-9b2b-4894-9011-da3a820d92ff aa116b11-b5d6-44e4-a14b-9ba43606f21c 244f5677-87ca-4f1f-a313-4bcc95220d0b 8123b0ea-6028-478a-9710-e91fef2724ce d5e0fb2c-0c7e-4547-adda-63a3be5c7a64 fb6b9808-ff20-4366-b9dd-8187fc5e4506 eaeef8ea-9890-499d-aa2f-7ccbe1773e53 ca3b2762-d647-4b92-ab45-7df3ed233d08 acffb4cf-19d3-4cbd-8c41-0fb3c9ea2040 18e8c1c0-b338-426c-9209-94eadeb3e020 07c57180-064c-46ea-af92-6883b348a5f7 6f59e337-d5af-49d8-9cd1-a405d106dfbc 12a96657-c84e-4ee1-a788-7363747a0360 259dec47-6f5e-4986-ba73-46b823b495a2 c5812ae4-555e-4414-82a9-59865ff8a8b7 6b880ee4-ee7b-4f64-a6ac-f2473df598d9 51139892-1816-43f1-b61f-450bb0fc2e10 a3882d68-3a03-4cb5-b821-4ff45f81ebcf 630806ec-a4ae-41bf-9388-0eca0857c1c1 040be44a-6f38-4731-be2e-a93c5daf877f,1.0,,,3.0,,,
roll-crosshead,59,5,4,3,0.6,0.06779661016949153,40,0.1,83.17728631578947,5d4725646cdbdf001a122fea 5de2a39c8691182c3ed485ff 5de67f3e36d8255fc22d6137,5aea9842ba2926000102f326 5de68727674832000dbeb1ca,,2.0,,d35351bc-8a73-4f97-832b-4f4a52d45f87 c33597c4-5ec7-408a-a11b-1e4c03c9a5a5 0d80667a-b8f7-45e5-9394-7073ae3e6d2c 7d46fb26-a439-497d-abfe-887d0531b560 23c7cd61-4501-4d28-9fd5-7f9282a3a5b9 2cd2a1db-59d0-4ae4-bb8b-5bc62c4026ae c9ab34dc-0121-4923-9789-656eb5478a09 dff54f75-952b-45bb-b2b9-4891604e6618 8551092e-b4d3-4e39-870d-24eb20da4516 5d3f5e1f-c455-4201-9715-6cdc647d1a78 7822c277-d2c8-4c9c-9630-5666e46cb809 7808f9a4-1764-4ea5-9227-e119a956bce0 f2d39225-b546-4d32-940d-5801ce0d1fcf b7e92229-a96f-41a9-a622-559fdcd45b00 1c2235b6-c51d-48dd-aff3-dec86b6d1c35 54122045-f64b-4773-97f5-06a4a2a6cf17 e300ce3e-9655-41a1-bc49-0f47b307d73c 47bc97b8-9c99-42a3-b823-cc195ce650ed 1e3b0eb2-4184-45cf-9ee3-371d851fe597 7b672e0f-1ed8-4c06-b7af-1d6c90900816 c312c6a6-9606-4bcb-8677-009b63f14c49 ed29dee3-5432-43e6-a627-1e28ee7d8e24 55f7fe1c-df8e-4d3a-a0d9-84dc385aabee 1919acc6-c325-4821-b310-e209dcf8097e c74c2c15-cc09-447d-a3f7-d99a29f3765a 0798f0f6-e366-4efb-b136-41aaec664b26 999e4c14-9ea3-4d49-bbb6-dd244fe64974 ff4dd8a0-e7db-4d07-afcb-bd7e11aeba89 7547f9d4-0c43-4515-ac4a-418e0165ebda 468af7fb-57d8-4507-b23a-e03bc9f53de3 59a9a711-bb21-4e13-85ce-968303c0194a f9730687-0db8-444f-bf72-2675df447dad 2a027dcc-06ed-4626-ab1c-6fca40ce0dc6 8145ad4b-9d0a-462d-8baa-51e28e48a622 e9d50d74-00c8-497a-865a-f43766e4a53e 935fb81b-4f6e-465b-a623-16f14156485d 3ccd571d-d0ba-48b9-8ed1-191f12deb945 54ba91ac-00c4-4dea-a430-f583eccfe328 56edb732-c29d-4235-82b8-982f63ca1ad0,1.0,,,,,,1.0
round-marshmallow,50,5,6,3,0.6,0.12,40,0.15,69.1459,59e5177f16ecc200016fefc1 5d1dc300a7056c001674fd3a 5be975720e366e0001763237,5c07b16bfd9c08000170882a 5d4ab3a6cfe6e90018ad8788,,1.0,3.0,4fcb0f20-5800-4f32-bef0-2e2a553c989d a7789d32-9cf0-4295-bfd8-98259c884547 8e065a4b-90a0-48a7-b590-db78f08ee3f0 d6134f84-661e-4fef-8392-95ca0fe0a337 eb7c5ad4-7bca-4d40-8b85-d18159c97eb7 e2171faa-2148-4edf-a846-0a439daf7759 79d1ef65-df08-42bc-a427-90fe8b06e53c 154f0924-271b-480b-b84d-6abdc9bae262 c5a28cee-f6e8-4203-a2ae-218e928b28c5 9a4d3999-f968-4af2-8538-60dfa20e93b9 76920a19-5e41-470c-adfd-b66064fae749 748a6362-0564-4ee1-a485-b358b2a78a37 04ea5f2c-cf85-408c-8f32-807260fe0180 6a6319a1-011f-4224-a186-cb1ca6aa5f01 6df1908a-5db1-4315-ae75-a11f572b2162 0d89c1e0-3b88-4b4d-a5df-6c39894bed22 def3a32c-7095-4012-b400-de1d6353c683 a4b2339d-5cc3-4972-93e0-ca726a3c24b9 f56f0eeb-32d2-4f52-bafa-164ab293c9da a0713c75-7b03-4cdc-94f5-2e7ea8b3a688 e4fd0bbb-31bd-4d1b-b883-d870776e128c b29da856-e67e-4425-9861-b8ebc9da246e 90c899b2-4caf-4c04-a9a8-cacbe13672ab c6d90e1f-d470-47e9-9a60-11a80612dc87 de4f00d1-3bd3-462b-ab97-b158660a9f4a eeec175f-8e7b-4518-8196-edb634f35fc2 88a88d5f-cf2b-4e32-8075-9eb36c2e3969 d8587e95-7740-4cbf-bf9c-d826d73d82fc d4e3a62a-69aa-4b6c-a39d-9a3ffbf6546b 19ab941d-e0b8-49be-a7fa-a18493a41550,1.0,,,1.0,,,
round-egg,50,5,8,3,0.6,0.16,40,0.2,23.56302,59d3764946447f00011f0407 5a828ebeeea3d300016e5389 klarinka.b@gmail.com,5b2421a25b5c0900018a69aa 5b2e41eb1d2f710001fb32db,,2.0,3.0,872a5f5d-fe9a-4132-987d-40e443c1c651 3d78b22a-1e50-4f82-b3db-0be38ae055f7 1284d7c2-c170-4d6d-8100-a47a5d32135a 8e26292b-c927-48b0-af23-3de8d3930e42 0e9b1eff-05ec-4411-abd6-b7fe49e4f3e5 5ad1803a-27a5-427a-96a3-c9498bfdb7e5 f9dc0d17-add4-472b-9be2-5d48f8e16603 a77a8004-7d11-40b3-85c5-2633ab5310fa 5728bbb4-7b0f-4539-84a1-1fc0bd362dae ecc0d702-663d-4e50-b43e-ee4fcdf42696 cb2c4162-7de7-4b42-815e-88d08d9ada12 c6346655-52c3-43bf-99c5-2e9e420d6ed7 44d75b19-aa45-4e84-99ed-61bfca337df6 219fe54f-cbff-4402-9e50-358dc34c9d26 106d400e-3240-427a-a047-82f6abbb622c 84e7b5ab-05c9-4ed5-b421-46f60594d02e 652f4a68-e116-4fff-8192-1cfec8e96e75 b2a427dd-99cf-4085-b97d-ad18c22d0a91 99cce72d-0a30-493a-8634-d2c29098cb9c 5fa0c441-7bbb-4ed5-858f-af986fd6a636 e63b9b01-acb5-40d2-9fe5-68dcb35d5098 5de1c053-8d10-43e8-bbc8-63774eddd3a7 c59e8d73-9612-4053-9623-a1f3b5c63e4d b19e65d5-53af-435c-bfcf-b5039c9ad383 46bd2ce7-f315-45cf-b0e0-9d767dd8fb57 1ed691b9-2232-42d1-93dc-50b327b455bd a89ca728-2db0-4ea4-9293-db7a464a298b bcfa0400-973a-448e-9488-bab8bcc65a6a dcc07092-19a7-423d-abf4-e32358a1ce83 a5921914-ecee-4db9-9b15-fe993fa81935,1.0,,,2.0,,,
red-lingonberry,50,5,10,3,0.6,0.2,40,0.25,67.11568000000001,592bdd896489ca00013b3fcf 5aecb62ab59b0d00012ea1f7 5b2c567dc01fcb000187e253,5a0feb37df3fa800015c432a 5de62d28d82800000b7f2913,,3.0,3.0,f10190ce-4def-4fa3-9a8b-fefc956e4e66 d325e71d-b7ee-4d8a-b189-6d91916cd1a8 9962d94b-e121-493e-a1e0-1e7c299eb718 219706f1-5c61-4111-acc5-4629806983d2 2db22fce-01c5-4da3-a4ec-8bb994799ea6 bab1ec92-df98-41c6-8aef-bbb453c77136 d65a140b-c0c4-4296-8a88-a1418a3c58ef 3257e1f2-e83e-46b3-b8af-00d38a47a4c6 048beba3-4b0b-4d9c-8652-77e4c0b449e0 c9ffa44d-90eb-4e01-bcb0-4bad937ed0b3 b4d3d811-7bb7-46ff-979e-034b19c80208 e0ebf7c1-f1aa-48e1-8822-bdb50e6d6d5c 9ec2824f-5a62-4e8f-8eef-9ce18e397564 9525b2d8-3a62-48ea-a639-472ed5eff25f ef305de2-ba80-4fb9-adb8-c0488daa3261 e21fd17d-dc6e-47bd-8eeb-ea6784bf0ab5 8bc4cf43-f5f7-410c-ba5a-be039207c2e4 92ed4f3a-9a65-4202-96fd-e48029f4694d 09406fab-c585-47a1-b345-43ca03dd6e04 a48c7313-4ac2-4874-aa27-839ecb49bc6e 1b76ab8f-f2e9-46fe-b951-937064bf8078 0fdeadd7-1396-400a-a85a-a27510abb60f b2f7cb63-1f97-4c72-a38b-88ce7d8cbf7b 655771cb-e12e-40b6-9f0b-c0775f7035f4 a239327c-abab-4066-aef8-1e3150797f42 9d025983-6cf6-4c38-a1ce-15df39d0a34e 93770f25-df6f-4622-9453-a0f673fc6cc6 9d66d81f-d045-418b-be22-ce5e0aaab288 7cc71808-b081-4b32-a64e-e301a47d697d f614b248-334d-42d2-806f-6dcb76705236,3.0,,,1.0,,,
round-pepperoni,50,5,10,3,0.6,0.2,40,0.25,70.14782,5bcbb1963c6f9f0001cc747a 5de77bbf6552bb6e9e080762 5de6dd9be3e0cc6642ea3b33,5a4bf85dac413f0001e6076a 5c73e0e1df19050016a5f8ea,,2.0,2.0,5d9aa975-b95b-4f0f-8682-d1f37ad26928 6db06ee5-3063-4e48-9dbc-fbe50156c280 c08725ee-c32d-4979-91fa-d0800b385fda 9f9dd0e3-bfe6-4b1b-848c-e6083b12e623 77a4d4fc-8911-40a6-a66a-ff7cb1024587 95362cf8-9135-414d-847d-052470d2489b 010f9185-a525-470a-aafd-4270950c8350 0139c692-fec2-42d5-b371-814837bcbbdf a1a9011d-e656-4a0c-958f-fe652f3c21f4 918ca9fa-dae8-4ff1-9e2e-69f037573bac 77faa46d-a9ab-47f4-99d9-4bd3a3468d01 664183a9-6b7d-4b61-8bf8-61c04753d7b8 862360ba-7125-4988-85a3-b8df3f756e23 7de14093-1929-4ede-817a-d2568b0c2edd 308cf719-69f3-4087-a2db-86786ceca786 9a461c5e-61df-4103-a46b-203712e2b23b d8687301-9c7d-48f5-b3c0-d00bd66ac78d 513688c9-ec12-49bc-8a62-27e87789a932 cbf970b2-110d-45cd-a532-29b8bfbe8a42 5e77769d-a746-4696-a803-fcc9685a9ef2 186320bb-c58d-453d-8e4f-0ec42cdbed4f af9ffb84-d658-4a89-8e89-f8be2c665b84 228710e1-4e58-4692-a6d0-f7d8e8fb2cc9 e75902a7-b78c-445b-af08-8b430852f1da 5664d35f-b400-4035-9a7a-b7a1fec8125e 889ba0ce-8ad9-4dff-a6cd-a1eac06011fc dabf53f7-8815-41f6-9698-3aa0f8cd4b46 410901dd-251b-4b6b-82ed-191b9d61507b 705c6a82-4f21-4669-8350-3db8da0155e2 b140312e-52fd-4e91-98cd-f5f6a3bcddfc,2.0,1.0,1.0,1.0,1.0,,
round-quesadilla,54,5,8,3,0.6,0.14814814814814814,40,0.2,49.142982857142854,5c3679bf7ab36100015c2276 5d82533077c5290015e77b99 5de7ef8fa2db8976dd0c9b01,5bb3b490763e440001853e4f 5dbb6eaea8461a16567fbb02,,2.0,3.0,676a7a91-8a92-4897-bbd6-b435e567a580 7b216066-0ad7-4b12-bfda-8e1c17ce6018 55fd39f5-6a36-4d4d-9bdb-96ca01bcaf79 4ff5373a-c046-41cd-9681-d9f04b588152 41f54c5c-ec54-49e9-8638-3583717bff07 f8f2332d-0228-4f13-9b10-860ec4c02354 e92df781-7b03-4749-9621-d02d3bc65b57 6be4e932-0fd2-48a0-9c70-7235a4968f13 9c9531e5-2273-43e5-9b01-a311276d5fdd 20e0381d-6553-4b7c-a53b-23c4b42b6921 97d04d5a-8224-4182-b245-2c762ef7ceb4 a7a4f0ef-3a75-4aea-85d4-4487de42f797 f5818822-5b72-4194-8df2-5b3efeac34ca 8337f963-fb7b-402b-a30f-4fbe18fd16bb 14224dbc-5dd1-4200-9790-a792fed43d55 f8881cc2-1d96-4abc-b555-943e6478e07a a63a3c04-abe5-4ad9-9556-21b8705c96ca f99177c1-80f7-40b5-857d-c96d4d490703 1188950b-39cf-4185-bec1-cefed17e53b4 59bff963-89b3-4c0d-8cae-02ae71e7bb1d 8ff8b99f-bfd0-4f84-9d32-722bbaeef5a8 069c39bb-ee53-46ce-bce5-1cd409a65bc5 91024921-3d8e-4eb5-a64d-63f7cda35bb2 424e05be-6025-4185-b5b9-6450487876b0 562ddf0f-9871-4d6e-95a2-51f8c15990e7 653ea695-2491-4044-a807-682a10d02238 e0a862f2-ee6e-491d-9382-4c32135d8f93 da3ab28b-002d-4dbe-8851-4db461548768 97fdfbd8-60b3-4ecf-abdc-e920ef5ac7d5 f79b1b9c-2f98-4fc3-90b1-4245bd6e378b f0568c35-e894-4f06-97b3-d8886c6cbe11 58c588ec-2bf0-42eb-9d20-0da3dcc8f8ba 777f2dc9-50cf-47d1-95fa-39a4d9140621 87f248a3-1c0c-4001-a826-285917a183b6,2.0,,,1.0,,,
round-marble,50,5,10,3,0.6,0.2,40,0.25,62.771339999999995,5c28f3efdfe7fc0001cd8b28 5cfa7e66b131cd001aa86c44 5d025e0959967a0019b3db84,5bec28bf65c4360001e8590c 5d1e2045a37a4d001a1fc2cb,,2.0,2.0,753503a3-169b-41ca-9085-dac27c5afa8a 60ccf498-9131-465d-82d6-8ea355ae25eb 15c779f5-0b98-4921-a405-7a0d6979d7ca 2f00db6b-1365-46c9-8e8c-e98ba5e253d0 35d2dd55-b7d2-49d4-8a75-1b1d4b56acd3 1b7f880d-74d1-4a7d-aafc-4e7a4c41fd6f ed98dbcf-4089-4e6d-aa21-61a7401f1a2a 7cd055d3-d068-40df-a915-e7240790764d 5bcbf8ff-89bf-4b5e-a459-2089b0380e0e ae3d4696-fd57-47ac-ba0a-cc8192bd7475 0d1ed205-acb4-4a00-be45-19ba0bcd9dad ed601db6-5af2-4e1e-be63-fe614f6b90e3 68afa259-0a13-4177-b325-2c001cb27d59 61b82e44-5709-4455-a044-1df7f8278a75 c38d24f3-9dbb-4ad3-86fd-ce7ae611aa58 fa8bb105-cf43-4b52-87a5-ce3c65b889d8 134c9d16-0591-472b-b48d-751c55bf6064 ad582a22-f21a-4e4a-8825-95a730dc1929 08317400-ebce-47a5-8bd2-e6f36b358210 54d7d5f8-5910-4dec-91fe-2ab3814c567d 17e756ab-7432-45ad-a2cd-3b25d89ac6f1 e4204899-9574-4af3-847e-5a5ea242cc85 eaf2af6e-befc-49cb-b67f-a6cb78d1c5d9 b648cb91-f23a-4012-ba00-e384ecb1f371 f2390a9e-2626-4884-9731-0e0f76fa6320 dcb511ed-9178-49b4-996a-c77fd5574d41 4a66d284-a38f-4982-bbb4-e1fd754f464f b228cf2c-6203-41a9-9218-17da24e0edb3 03a49e50-1891-4482-8af8-30c2fb29ed84 0b116807-8645-4384-b564-acb9443b2272,1.0,1.0,1.0,2.0,1.0,,
