label,categories_str,sources_str,certainty,cosine_centroid,selection ,manual_coarse_grained,space_selection,qumcrae_label,word,lemma,wiki_frequency,word_in_wn?,word_noun_in_wn?,word_noun_spacy?,n_navigli_clusters,n_onto_senses_n_v,n_wn_senses,min_wn_sim_wup,av_sim_wup,polysemy_type,mipvu,wn_abs_conc,filter,conc,fam,aoa
neg,is_found_in_seas,cslb_crowd_neg,certain,0.0472932296,3,-,False,-,ring,ring,116797,True,True,True,9,16,15,0.125,0.2695056001284375,homonyms_also_same_pos,met non-met,abs-conc,False,593,589,208
neg,is_found_in_seas,cslb_crowd_neg,certain,0.1028801853,3,-,False,-,satchel,satchel,819,True,True,True,0,0,1,1.0,1.0,mon,,conc,False,593,364,297
neg,neg neg,manually_included manually_included,certain,0.1234240193,3,-,False,-,violin,violin,29202,True,True,True,0,0,1,1.0,1.0,poly,non-met,conc,False,626,468,
neg,is_found_in_seas,cslb_crowd_neg,certain,0.1311390408,3,-,False,-,wheel,wheel,61751,True,True,True,3,4,11,0.10526315789473684,0.4312622680355737,homonyms_only_different_pos,met non-met,abs-conc,False,573,566,
pos,pos pos,manually_included manually_included,certain,0.1888275108,2,-,False,-,treasure,treasure,23674,True,True,True,2,0,6,0.125,0.28257020757020757,homonyms_only_different_pos,non-met,abs-conc,False,,,
neg,is_found_in_seas,cslb_crowd_neg,certain,0.2047157693,,-,False,-,trapper,trapper,2115,True,True,True,0,0,1,1.0,1.0,mon,,conc,False,,,
neg,is_found_in_seas,cslb_crowd_neg,certain,0.2316733815,,-,False,-,lynx,lynx,6514,True,True,True,1,0,2,0.07142857142857142,0.07142857142857142,mon,,conc-n,False,568,301,511
neg,is_found_in_seas,cslb_crowd_neg,certain,0.2363369163,,-,False,-,bobcat,bobcat,1596,True,True,True,0,0,1,1.0,1.0,mon,,conc,False,,,
neg,is_found_in_seas,cslb_crowd_neg,certain,0.2486903576,,-,False,-,coyote,coyote,5573,True,True,True,2,0,3,0.42857142857142855,0.451005291005291,mon,,conc,False,,,
neg,is_found_in_seas,cslb_crowd_neg,certain,0.2570307553,,-,False,-,marmot,marmot,659,True,True,True,0,0,1,1.0,1.0,mon,,conc,False,,,
neg,is_found_in_seas,cslb_crowd_neg,certain,0.2579485813,,-,False,-,cougar,cougar,3746,True,True,True,0,0,1,1.0,1.0,mon,,conc,False,,,
neg,is_found_in_seas,cslb_crowd_neg,certain,0.2613879969,,-,False,-,roach,roach,6497,True,True,True,3,0,7,0.15384615384615385,0.2832025170699733,homonyms_also_same_pos,,conc,False,,,
neg,is_found_in_seas,cslb_crowd_neg,certain,0.265127626,,-,False,-,peregrine,peregrine,2785,True,True,True,0,0,2,None,,,,conc,False,,,
neg,is_found_in_seas,cslb_crowd_neg,certain,0.2671046085,,-,False,-,beaver,beaver,16164,True,True,True,3,0,8,0.17391304347826086,0.3706066574747227,poly,,abs-conc,False,589,470,
pos,pos pos,manually_included manually_included,certain,0.2843364148,,-,False,-,bass,bass,103359,True,True,True,4,0,9,0.08333333333333333,0.2133037392518577,homonyms_only_different_pos,non-met,abs-conc,False,547,540,
pos,is_found_in_seas,cslb_crowd_pos,certain,0.291998398,,-,False,-,caplin,caplin,306,True,True,False,0,0,1,1.0,1.0,,,conc,False,,,
neg,is_found_in_seas,cslb_crowd_neg,certain,0.296069541,,-,False,-,rabbit,rabbit,15865,True,True,True,1,0,4,0.16666666666666666,0.2272727272727273,homonyms_only_different_pos,non-met,abs-conc,False,635,523,206
neg,is_found_in_seas,cslb_crowd_neg,certain,0.3050531607,,-,False,-,stoat,stoat,353,True,True,True,0,0,1,1.0,1.0,mon,,conc,False,621,352,417
neg,is_found_in_seas,cslb_crowd_neg,certain,0.3075161994,,-,False,-,owl,owl,12496,True,True,True,0,0,1,1.0,1.0,mon,,conc,False,614,477,269
neg,is_found_in_seas,cslb_crowd_neg,certain,0.3202796414,,-,False,-,vole,vole,1549,True,True,True,0,0,1,1.0,1.0,mon,,conc,False,,,
neg,is_found_in_seas,cslb_crowd_neg,certain,0.3227485097,,-,False,-,grizzly,grizzly,3564,True,True,True,0,0,2,None,,,,conc,False,,,
neg,is_found_in_seas,cslb_crowd_neg,certain,0.3258526911,,-,False,-,muskrat,muskrat,762,True,True,True,1,0,2,0.17391304347826086,0.17391304347826086,poly,,abs-conc,False,,,
neg,is_found_in_seas,cslb_crowd_neg,certain,0.3277376033,,-,False,-,elk,elk,9182,True,True,False,0,0,3,0.9375,0.9375,poly,,conc,False,,,
pos,pos pos,manually_included manually_included,certain,0.3309124586,,-,False,-,sand,sand,51782,True,True,True,2,0,4,0.125,0.20462962962962963,homonyms_only_different_pos,non-met,abs-n,False,616,519,217
neg,is_found_in_seas,cslb_crowd_neg,certain,0.3417222754,,-,False,-,rodent,rodent,4434,True,True,True,0,0,1,1.0,1.0,mon,,conc,False,,,
neg,is_found_in_seas,cslb_crowd_neg,certain,0.3420459137,,-,False,-,squirrel,squirrel,7491,True,True,True,1,0,2,0.17391304347826086,0.17391304347826086,mon,non-met,abs-conc,False,612,511,
neg,neg neg,manually_included manually_included,certain,0.3681472739,,-,False,-,tortoise,tortoise,3936,True,True,True,0,0,1,1.0,1.0,mon,non-met,conc,False,602,415,
pos,is_found_in_seas,cslb_crowd_pos,certain,0.3791616704,,-,False,-,shearwater,shearwater,1243,True,True,True,0,0,1,1.0,1.0,,,conc,False,,,
pos,is_found_in_seas,cslb_crowd_pos,certain,0.3824195435,,-,False,-,haddock,haddock,1663,True,True,True,1,0,2,0.17391304347826086,0.17391304347826086,mon,,conc,False,636,475,389
pos,is_found_in_seas,cslb_crowd_pos,certain,0.3845977355,,-,False,-,manatee,manatee,1650,True,True,True,0,0,1,1.0,1.0,mon,,conc,False,,,
pos,is_found_in_seas,cslb_crowd_pos,certain,0.3904608641,,-,False,-,gannet,gannet,586,True,True,True,0,0,1,1.0,1.0,mon,,conc,False,,,
neg,is_found_in_seas,cslb_crowd_neg,certain,0.406991896,,-,False,-,bird,bird,78400,True,True,True,3,0,6,0.11764705882352941,0.26011204481792716,homonyms_only_different_pos,non-met,abs-conc,False,602,592,206
pos,is_found_in_seas,cslb_crowd_pos,certain,0.4140876935,,-,False,-,codfish,codfish,270,True,True,True,1,0,2,0.16666666666666666,0.16666666666666666,,,conc,False,,,
neg,neg neg,manually_included manually_included,certain,0.4155820222,,-,False,-,crocodile,crocodile,6355,True,True,True,0,0,1,1.0,1.0,poly,,conc,False,583,456,
neg,is_found_in_seas,cslb_crowd_neg,certain,0.4332711229,,-,False,-,barbel,barbel,591,True,True,True,0,0,1,1.0,1.0,mon,,conc,False,,,
neg,is_found_in_seas is_found_in_seas is_found_in_seas is_found_in_seas,cslb_crowd_neg manually_included manually_included,certain,0.4457152692,,-,False,-,carp,carp,4823,True,True,True,1,0,3,0.16,0.16,homonyms_only_different_pos,,conc,False,613,439,
pos,is_found_in_seas,cslb_crowd_pos,certain,0.4519848374,,-,False,-,swordfish,swordfish,1735,True,True,True,1,0,2,0.16,0.16,mon,,conc,False,,,
pos,is_found_in_seas,cslb_crowd_pos,certain,0.4622625796,,-,False,-,seabird,seabird,1451,True,True,True,0,0,1,1.0,1.0,mon,,conc,False,,,
pos,is_found_in_seas,cslb_crowd_pos,certain,0.4804167429,,-,False,-,porpoise,porpoise,1024,True,True,True,0,0,1,1.0,1.0,mon,,conc,False,,,
neg,is_found_in_seas,cslb_crowd_neg,certain,0.485928631,,-,False,-,chub,chub,1423,True,True,True,0,0,1,1.0,1.0,mon,,conc,False,,,
pos,is_found_in_seas,cslb_crowd_pos,certain,0.4880329499,,-,False,-,seafood,seafood,6162,True,True,True,0,0,1,1.0,1.0,mon,,conc,False,,,
pos,pos pos,manually_included manually_included,certain,0.4910566604,,-,False,-,turtle,turtle,14449,True,True,True,0,0,4,0.2,0.27391304347826084,poly,,conc,False,644,509,
