_unit_id,_id,_worker_id,_started_at,_created_at,description,relation,concept,property,answer
1df0627c-694f-40fa-954a-ca9ebf73c22d,176505,5d6aeb25a6a4220015010bd6,2010-01-01 01:01:00,2010-01-01 09:34:41,"I could say (a/an) giraffe lays eggs/is used for laying eggs, but I would most certainly not mean it literally.",creative,giraffe,lay_eggs,false
8c13498f-72cf-4790-b184-2eee2ee14be1,176514,5d6aeb25a6a4220015010bd6,2010-01-01 10:13:19,2010-01-01 09:35:12,"Usually, (a/an) geranium is not yellow, but there could be a highly unusual situation in which (a/an) geranium is yellow.",unusual,geranium,yellow,true
6e20ba78-d2c4-41bb-93f4-8bd229ab4f67,176516,5d6aeb25a6a4220015010bd6,2010-01-01 09:45:47,2010-01-01 09:35:16,I think it is impossible for (a/an) geranium to be yellow.,impossible,geranium,yellow,false
34a0ea5e-5c0f-4cb6-b3a1-3237dfbbf30c,176522,5d6aeb25a6a4220015010bd6,2010-01-01 10:16:24,2010-01-01 09:35:32,You can find (a/an) tropicbird which can fly/be used for flying. This distinguishes a certain type of tropicbird from others. ,variability_limited,tropicbird,fly,true
0f586be9-0666-4501-a738-78a3e3864289,176524,589cc7bd8bf22a00015b7b30,2010-01-01 10:09:34,2010-01-01 09:35:35,I think it is impossible for (a/an) viscacha to be black.,impossible,viscacha,black,false
bfca34d4-4dac-466d-aafc-dd824d1b5888,176527,589cc7bd8bf22a00015b7b30,2010-01-01 09:57:17,2010-01-01 09:35:42,"I think (a/an) viscacha can be black, but this is rare or uncommon.",rare,viscacha,black,true
8cf83922-797c-4505-af0e-f78a80c94fca,176530,5d6aeb25a6a4220015010bd6,2010-01-01 10:40:03,2010-01-01 09:35:50,``Chair'' is one of the first things which come to mind when I hear ``made_of_wood' because (a/an) chair is a typical example of things which are (a/an) made_of_wood'. ,typical_of_property,chair,made_of_wood,true
2a21b8a3-4b63-4854-bbce-405723f33fc6,176532,589cc7bd8bf22a00015b7b30,2010-01-01 10:09:36,2010-01-01 09:35:55,"I could say (a/an) juice is hot, but I would most certainly not mean it literally.",creative,juice,hot,true
2e22d4b1-3c6e-4d93-94a9-cf40711cd1af,176533,5d6aeb25a6a4220015010bd6,2010-01-01 10:09:38,2010-01-01 09:35:55,"I think (a/an) juice can be hot, but this is rare or uncommon.",rare,juice,hot,true
73281ce3-74af-4acf-a285-1ce8bbde4077,176542,5d6aeb25a6a4220015010bd6,2010-01-01 09:35:12,2010-01-01 09:36:16,I know that being black is necessary for many things (a/an) viscacha does or is used for. ,affording_activity,viscacha,black,false
e4e8d0ee-3547-4f2c-bcdc-83111f606a3d,176544,589cc7bd8bf22a00015b7b30,2010-01-01 10:31:20,2010-01-01 09:36:20,I know that (a/an) tropicbird can fly/be used for flying as most or all other things similar to (a/an) tropicbird fly. ,implied_category,tropicbird,fly,true
45637489-e27d-41d5-b6d8-01e8271dba3e,176545,5d6aeb25a6a4220015010bd6,2010-01-01 10:09:29,2010-01-01 09:36:20,``Viscacha'' is one of the first things which come to mind when I hear ``black' because (a/an) viscacha is a typical example of things which are black'. ,typical_of_property,viscacha,black,false
e5bbec10-458d-4653-89af-77a3608fc6d5,176548,5d6aeb25a6a4220015010bd6,2010-01-01 09:46:14,2010-01-01 09:36:27,"I think (a/an) cupboard can be square, but this is rare or uncommon.",rare,cupboard,square,false
